name|team|ip|w|sv|hld|era|whip|so|hr|qs|bb|hbp|bf
Alex Vesia|LAD|7.3|0|2|3|0.0|0.68|9|0|0|3|0|27
Brandon Young|BAL|5.0|1|0|0|0.0|0.8|2|0|0|2|0|18
José Soriano|LAA|32.7|5|0|0|0.28|0.73|39|1|4|13|0|120
Shohei Ohtani|LAD|18.0|2|0|0|0.5|0.72|18|0|3|6|1|69
Tyler Phillips|MIA|12.0|0|1|0|0.75|1.25|15|0|0|8|1|53
Bryce Elder|ATL|23.3|2|0|0|0.77|1.03|23|1|2|7|1|91
Dennis Santana|PIT|11.0|2|2|2|0.82|0.82|7|0|0|5|1|42
Hunter Brown|HOU|10.7|1|0|0|0.84|1.03|17|0|1|6|0|43
Braydon Fisher|TOR|10.7|0|0|3|0.84|0.75|12|1|0|1|1|37
Bradgley Rodriguez|SDP|10.7|0|0|2|0.84|1.13|10|0|0|2|0|43
Gregory Soto|PIT|10.7|0|1|5|0.84|0.66|15|1|0|5|1|40
Tyler Alexander|TEX|10.3|0|2|3|0.87|1.35|9|0|0|3|1|44
Tyler Rogers|TOR|9.7|1|0|2|0.93|1.24|5|0|0|4|0|41
Chad Patrick|MIL|19.0|1|0|0|0.95|1.16|9|1|1|7|0|75
DL Hall|MIL|9.3|0|0|2|0.96|1.29|11|1|0|6|1|39
Tim Hill|NYY|9.0|0|0|3|1.0|0.56|3|0|0|0|0|30
Michael Wacha|KCR|27.0|2|0|0|1.0|0.78|23|2|4|8|1|98
Jalen Beeks|TEX|8.7|1|0|3|1.04|1.15|7|0|0|3|0|35
Tanner Scott|LAD|8.7|0|0|4|1.04|0.58|8|1|0|0|0|30
Parker Messick|CLE|25.7|3|0|0|1.05|0.78|25|1|3|7|0|93
Eduard Bazardo|SEA|8.3|0|0|1|1.08|1.08|8|0|0|3|0|33
Brock Burke|CIN|8.3|1|1|1|1.08|1.2|10|0|0|3|0|34
Gordon Graceffo|STL|8.3|1|0|1|1.08|0.96|5|0|0|6|1|32
Brennan Bernardino|COL|8.0|1|0|1|1.13|1.25|6|0|0|3|0|33
Andrew Hoffmann|ARI|8.0|1|0|0|1.13|1.13|8|1|0|5|1|34
Caleb Kilian|SFG|8.0|0|0|1|1.13|0.88|12|1|0|5|1|31
Bryan King|HOU|8.0|0|1|2|1.13|1.25|11|0|0|3|1|34
Tyler Kinley|ATL|8.0|2|0|1|1.13|0.75|6|0|0|2|0|29
Dylan Lee|ATL|8.0|0|0|2|1.13|0.75|8|0|0|1|0|30
Drew Rasmussen|TBR|16.0|1|0|0|1.13|0.56|17|2|1|1|0|59
Jaden Hill|COL|7.7|0|0|2|1.17|1.17|7|0|0|5|0|32
John King|MIA|7.7|1|0|1|1.17|0.65|8|1|0|3|2|30
Will Klein|LAD|7.7|1|0|0|1.17|1.17|9|0|0|3|0|30
Daniel Lynch IV|KCR|7.7|0|0|2|1.17|0.65|10|0|0|3|1|30
Robert Suarez|ATL|7.7|2|0|3|1.17|1.04|8|0|0|1|0|30
Tyler Holton|DET|7.3|0|0|1|1.23|1.23|5|1|0|4|1|31
Taj Bradley|MIN|21.7|3|0|0|1.25|1.25|29|0|2|8|2|93
Aroldis Chapman|BOS|7.0|0|3|0|1.29|1.0|7|0|0|3|1|27
Eli Morgan|KCR|7.0|0|1|0|1.29|1.29|7|1|0|5|0|31
Enyel De Los Santos|HOU|6.7|0|2|0|1.35|0.75|6|1|0|1|0|25
Jhoan Duran|PHI|6.7|1|5|0|1.35|0.75|8|0|0|0|0|24
Brooks Raley|NYM|6.7|0|0|2|1.35|0.9|9|0|0|3|0|26
Yennier Cano|BAL|6.3|1|0|2|1.42|0.79|9|0|0|1|0|24
Jacob Latz|TEX|12.7|0|0|2|1.42|0.55|10|1|0|3|0|46
Jeffrey Springs|ATH|24.7|3|0|0|1.46|0.77|20|0|3|8|0|91
Seth Lugo|KCR|24.3|1|0|0|1.48|0.99|21|0|3|6|0|92
Spencer Arrighetti|HOU|6.0|1|0|0|1.5|1.17|10|0|1|4|2|27
Isaac Mattson|PIT|11.7|0|0|4|1.54|1.54|9|0|0|6|0|51
Brent Headrick|NYY|11.3|1|0|1|1.59|1.5|13|0|0|5|0|51
Graham Ashcraft|CIN|11.0|0|0|6|1.64|1.18|13|0|0|5|0|43
David Morgan|SDP|11.0|2|0|0|1.64|1.55|11|1|0|9|2|50
Hunter Bigge|TBR|5.3|0|0|3|1.69|1.13|2|1|0|5|0|22
Dylan Cease|TOR|20.7|0|0|0|1.74|1.26|32|0|1|12|1|89
Jovani Morán|BOS|10.3|0|0|0|1.74|0.87|12|1|0|5|0|40
Carmen Mlodzinski|PIT|20.3|1|0|0|1.77|1.33|20|0|0|8|1|87
Danny Coulombe|BOS|5.0|0|0|1|1.8|1.2|2|1|0|2|0|20
Jimmy Herget|COL|10.0|0|1|2|1.8|0.8|7|0|0|2|1|38
Wandy Peralta|SDP|10.0|0|0|1|1.8|1.5|10|1|0|3|0|44
Grant Taylor|CHW|9.7|0|0|1|1.86|1.03|13|0|0|3|0|39
Kenley Jansen|DET|4.7|0|4|0|1.93|0.86|7|1|0|1|0|18
Hoby Milner|CHC|9.3|0|0|1|1.93|0.86|1|1|0|0|2|35
Sam Moll|CIN|9.3|1|0|1|1.93|0.75|8|0|0|6|3|38
Anthony Nunez|BAL|9.3|0|0|3|1.93|0.64|12|2|0|1|0|35
Cam Schlittler|NYY|27.7|2|0|0|1.95|0.76|36|0|2|3|0|105
Clay Holmes|NYM|23.0|2|0|0|1.96|1.09|16|2|1|9|1|93
Eduardo Rodriguez|ARI|23.0|1|0|0|1.96|1.22|14|2|2|9|0|96
Cooper Criswell|SEA|9.0|0|1|0|2.0|1.11|8|2|0|3|0|33
George Soriano|STL|9.0|1|0|1|2.0|0.78|6|0|0|4|1|35
Cristopher Sánchez|PHI|22.3|2|0|0|2.01|1.39|31|1|2|7|0|95
Mitch Farris|LAA|4.3|0|0|0|2.08|1.62|3|1|0|2|0|19
Kody Funderburk|MIN|8.7|1|1|3|2.08|1.5|8|1|0|7|1|39
Connor Seabold|DET|8.7|1|0|0|2.08|1.15|9|2|0|3|0|35
Yoshinobu Yamamoto|LAD|25.7|2|0|0|2.1|0.82|21|3|4|3|1|95
Justin Wrobleski|LAD|17.0|2|0|0|2.12|0.76|6|0|1|5|0|63
Yohan Ramírez|PIT|12.7|2|0|1|2.13|1.03|15|0|0|7|1|52
Jack Dreyer|LAD|8.3|1|0|2|2.16|0.96|10|0|0|4|0|32
Matt Gage|SFG|8.3|1|0|1|2.16|1.08|7|1|0|4|0|32
Ryan Helsley|BAL|8.3|0|6|0|2.16|1.44|12|0|0|5|0|37
Davis Martin|CHW|25.0|3|0|0|2.16|1.0|19|2|3|6|1|94
Paul Sewald|ARI|8.3|0|7|0|2.16|0.48|11|2|0|0|0|29
Bryan Woo|SEA|25.0|0|0|0|2.16|0.92|20|0|3|5|1|97
Reynaldo López|ATL|20.7|1|0|0|2.18|1.11|19|3|1|8|1|84
Cade Povich|BAL|12.3|1|0|0|2.19|0.97|7|1|1|3|0|48
Martín Pérez|ATL|20.3|1|0|0|2.21|0.93|10|1|1|6|2|79
Tarik Skubal|DET|24.3|2|0|0|2.22|0.95|23|1|3|4|1|95
Garrett Acton|MIN|4.0|1|0|0|2.25|0.75|5|0|0|2|1|15
Didier Fuentes|ATL|4.0|0|0|0|2.25|0.75|4|0|0|1|0|15
Connor Phillips|CIN|12.0|1|1|2|2.25|1.42|13|1|0|11|1|53
Blade Tidwell|SFG|8.0|0|1|1|2.25|0.75|6|1|0|1|1|28
Victor Vodnik|COL|8.0|0|2|0|2.25|1.5|5|1|0|4|1|35
Garrett Whitlock|BOS|8.0|1|0|3|2.25|1.25|12|1|0|5|0|34
Emerson Hancock|SEA|23.7|2|0|0|2.28|0.76|25|2|3|4|1|85
Nolan McLean|NYM|23.7|1|0|0|2.28|0.76|28|1|2|8|1|89
Connelly Early|BOS|19.7|1|0|0|2.29|1.27|20|1|1|10|2|84
Jacob deGrom|TEX|19.7|1|0|0|2.29|1.07|25|3|1|6|0|78
Kyle Freeland|COL|15.7|1|0|0|2.3|1.09|13|1|1|4|4|67
Kai-Wei Teng|HOU|11.7|1|0|1|2.31|0.86|11|2|0|4|0|45
Bryan Hudson|CHW|7.7|0|0|1|2.35|1.3|9|0|0|4|1|34
Chase Silseth|LAA|7.7|0|0|3|2.35|1.43|9|1|0|6|0|34
Braxton Ashcraft|PIT|22.7|1|0|0|2.38|1.06|27|0|2|7|1|91
Edward Cabrera|CHC|22.7|2|0|0|2.38|1.28|17|0|2|11|0|91
Hogan Harris|ATH|11.3|1|1|4|2.38|1.68|11|0|0|12|0|53
Landen Roupp|SFG|22.7|3|0|0|2.38|0.97|24|0|3|7|2|90
Gavin Williams|CLE|22.7|2|0|0|2.38|1.15|29|3|1|16|0|89
Brent Suter|LAA|15.0|0|0|0|2.4|1.27|15|2|0|6|0|59
Chase Burns|CIN|22.3|1|0|0|2.42|1.07|22|3|2|9|0|88
Kevin Gausman|TOR|22.3|0|0|0|2.42|0.85|31|2|2|5|0|88
Robbie Ray|SFG|22.3|2|0|0|2.42|1.03|24|4|1|10|0|88
Fernando Cruz|NYY|7.3|1|0|3|2.45|1.5|10|0|0|7|1|33
Zach Eflin|BAL|3.7|0|0|0|2.45|1.64|7|1|0|2|0|17
Cade Horton|CHC|7.3|1|0|0|2.45|0.82|4|1|1|2|0|26
Shota Imanaga|CHC|22.0|1|0|0|2.45|0.77|31|2|2|5|0|82
Nick Martinez|TBR|22.0|0|0|0|2.45|1.23|14|3|2|7|0|92
Tim Mayza|PHI|11.0|0|0|1|2.45|0.64|10|0|0|3|1|41
Will Warren|NYY|18.3|1|0|0|2.45|1.25|20|2|0|6|1|80
Michael McGreevy|STL|21.7|1|0|0|2.49|0.83|12|3|2|3|0|82
Randy Vásquez|SDP|21.7|1|0|0|2.49|1.29|25|1|2|8|1|90
Casey Legumina|SEA|10.7|0|0|0|2.53|1.31|9|0|0|2|3|47
Gabe Speier|SEA|7.0|0|1|1|2.57|1.0|6|0|0|1|1|28
Anthony Kay|CHW|17.3|1|0|0|2.6|1.27|12|2|0|9|3|78
JT Brubaker|SFG|10.3|0|0|0|2.61|1.74|8|1|0|8|0|45
Joey Cantillo|CLE|20.7|1|0|0|2.61|1.21|24|2|1|9|0|81
Sandy Alcantara|MIA|30.3|2|0|0|2.67|0.86|22|3|3|6|1|116
Michael King|SDP|22.7|2|0|0|2.78|1.15|20|1|2|10|3|93
Casey Mize|DET|22.7|1|0|0|2.78|1.19|25|2|2|7|1|94
Michael Soroka|ARI|22.7|4|0|0|2.78|1.06|28|2|1|6|3|93
Cole Winn|TEX|9.7|1|1|4|2.79|1.24|10|2|0|5|0|41
Brant Hurter|DET|6.3|1|0|1|2.84|1.26|4|1|0|3|0|26
Mitch Keller|PIT|22.0|1|0|0|2.86|1.23|14|1|3|9|1|90
Jakob Junis|TEX|9.3|0|3|3|2.89|0.75|6|0|0|2|1|35
Max Fried|NYY|33.3|2|0|0|2.97|0.81|23|1|4|8|2|127
Jack Anderson|BOS|3.0|0|0|0|3.0|0.67|4|1|0|1|0|11
Lake Bachar|MIA|9.0|0|0|1|3.0|1.0|14|0|0|4|0|36
Paul Blackburn|NYY|6.0|1|0|0|3.0|2.0|4|0|0|2|0|30
MacKenzie Gore|TEX|21.0|2|0|0|3.0|1.1|30|2|1|11|1|85
Juan Morillo|ARI|9.0|0|1|6|3.0|1.0|8|1|0|4|0|36
Andrew Morris|MIN|3.0|0|0|1|3.0|2.0|2|0|0|0|0|15
Chase Shugart|PHI|3.0|0|0|0|3.0|1.33|3|1|0|1|0|12
Caleb Thielbar|CHC|6.0|1|0|1|3.0|1.33|8|1|0|4|0|27
Trevor Rogers|BAL|23.7|2|0|0|3.04|1.27|20|1|3|6|1|98
Foster Griffin|WSH|20.7|2|0|0|3.05|1.26|19|3|0|7|1|87
Ben Brown|CHC|14.7|0|0|0|3.07|1.02|14|1|0|5|0|57
Kyle Harrison|MIL|14.7|1|0|0|3.07|1.09|15|2|0|4|2|60
Grant Wolfram|BAL|8.7|1|0|3|3.12|1.15|15|0|0|1|2|38
Bubba Chandler|PIT|20.0|1|0|0|3.15|1.3|17|2|1|13|0|85
Carter Baumler|TEX|5.7|0|0|0|3.18|1.76|6|1|0|6|1|27
Jose Franco|CIN|5.7|0|0|1|3.18|2.12|4|0|0|5|0|27
Aaron Ashby|MIL|14.0|5|0|0|3.21|1.36|22|1|0|6|0|59
Ranger Suarez|BOS|22.3|1|0|0|3.22|1.07|15|2|2|6|0|86
Tyler Glasnow|LAD|25.0|2|0|0|3.24|0.84|29|2|3|6|0|95
Keaton Winn|SFG|8.3|0|0|3|3.24|0.72|11|0|0|2|0|31
George Kirby|SEA|27.7|2|0|0|3.25|0.94|22|3|3|6|1|103
Chris Sale|ATL|22.0|3|0|0|3.27|1.05|22|4|3|6|3|89
Joe Ryan|MIN|27.3|2|0|0|3.29|0.88|28|1|2|6|2|107
J.T. Ginn|ATH|16.3|0|0|0|3.31|0.98|11|2|0|7|0|63
Keider Montero|DET|16.3|1|0|0|3.31|0.86|15|0|1|2|0|63
Chase Dollander|COL|19.0|2|0|0|3.32|1.11|23|3|0|6|1|80
Grant Holmes|ATL|21.7|1|0|0|3.32|1.11|17|2|2|10|0|88
Jacob Misiorowski|MIL|21.7|1|0|0|3.32|1.02|33|4|1|9|2|88
Grant Anderson|MIL|10.7|0|0|4|3.38|1.13|9|0|0|6|0|42
Coleman Crow|MIL|5.3|0|0|0|3.38|0.94|4|0|0|1|0|21
Erick Fedde|CHW|16.0|0|0|0|3.38|1.06|12|2|0|3|2|64
Robert Garcia|TEX|8.0|0|0|2|3.38|1.5|6|0|0|7|0|34
Merrill Kelly|ARI|5.3|1|0|0|3.38|1.69|3|1|0|4|0|24
Luis Medina|ATH|8.0|0|0|0|3.38|1.38|9|1|0|5|0|35
Michael Petersen|MIA|8.0|1|1|1|3.38|1.13|7|1|0|4|0|33
Tyler Uberstine|BOS|2.7|0|0|0|3.38|1.5|2|1|0|1|0|11
Austin Voth|TOR|2.7|0|0|0|3.38|1.5|1|0|0|1|0|12
Tobias Myers|NYM|13.0|0|0|2|3.46|0.77|9|2|0|1|0|48
Jack Kochanowicz|LAA|23.3|2|0|0|3.47|1.24|18|1|2|15|0|99
Sam Bachman|LAA|10.3|0|0|3|3.48|1.35|11|0|0|8|0|43
Taylor Clarke|ARI|10.3|1|0|5|3.48|0.68|6|1|0|0|1|37
Jordan Leasure|CHW|10.3|1|0|3|3.48|0.97|9|2|0|4|0|40
Spencer Miles|TOR|10.3|1|0|0|3.48|1.35|9|2|0|4|0|44
Jose A. Ferrer|SEA|7.7|0|0|1|3.52|1.7|7|0|0|1|0|36
Rhett Lowder|CIN|23.0|2|0|0|3.52|1.13|15|1|2|7|0|94
Nick Mears|KCR|7.7|1|0|2|3.52|1.3|6|0|0|4|0|32
Eric Orze|MIN|7.7|0|1|3|3.52|1.43|5|0|0|4|0|33
Aaron Civale|ATH|20.3|2|0|0|3.54|1.33|16|2|0|6|1|89
Ryne Nelson|ARI|20.3|1|0|0|3.54|1.03|19|4|0|8|0|86
Reid Detmers|LAA|22.7|1|0|0|3.57|1.06|26|1|2|6|2|94
Zac Gallen|ARI|20.0|1|0|0|3.6|1.45|11|2|1|7|0|85
Dean Kremer|BAL|5.0|0|0|0|3.6|1.2|9|3|0|0|0|21
Steven Okert|HOU|10.0|0|0|2|3.6|0.9|8|1|0|5|0|37
Colin Rea|CHC|17.3|2|1|0|3.63|0.98|15|2|0|3|1|69
Bryan Baker|TBR|7.3|1|4|0|3.68|0.95|7|1|0|2|0|29
Pierce Johnson|CIN|7.3|1|0|2|3.68|1.36|8|1|0|1|0|32
Zach Pop|PHI|7.3|0|0|0|3.68|1.09|6|0|0|3|1|31
Taylor Rogers|MIN|7.3|0|0|2|3.68|1.64|7|0|0|3|0|33
Cole Sands|MIN|7.3|0|1|3|3.68|1.5|7|1|0|4|0|32
Lucas Sims|CHW|7.3|0|0|2|3.68|1.64|7|0|0|5|1|34
Jake Woodford|MIL|7.3|1|0|0|3.68|1.36|5|1|0|2|0|31
Erik Sabrowski|CLE|9.7|0|0|8|3.72|0.93|15|1|0|4|0|38
Justin Topa|MIN|9.7|0|1|1|3.72|1.55|5|1|0|4|0|42
Justin Sterner|ATH|12.0|0|0|5|3.75|1.67|14|1|0|5|0|56
Framber Valdez|DET|24.0|1|0|0|3.75|1.29|13|0|3|7|1|104
Andrew Painter|PHI|14.3|1|0|0|3.77|1.33|16|0|0|3|0|61
Cole Ragans|KCR|16.7|0|0|0|3.78|1.38|16|3|2|10|0|67
Steven Matz|TBR|21.3|3|0|0|3.8|1.03|21|2|1|6|1|85
Clayton Beeter|WSH|9.3|1|2|2|3.86|1.29|7|2|0|8|1|42
Jonathan Bowlan|PHI|7.0|1|0|0|3.86|1.29|8|0|0|1|0|29
Freddy Peralta|NYM|21.0|1|0|0|3.86|1.14|25|3|1|8|1|89
Cody Ponce|TOR|2.3|0|0|0|3.86|0.86|3|0|0|1|0|10
PJ Poulin|WSH|11.7|2|0|3|3.86|1.46|8|3|0|7|0|49
Evan Sisk|PIT|2.3|0|0|0|3.86|1.71|4|0|0|1|1|12
Ryan Walker|SFG|7.0|0|1|2|3.86|1.29|8|1|0|3|0|30
Tomoyuki Sugano|COL|20.7|1|0|0|3.92|1.16|15|5|2|5|0|86
Noah Cameron|KCR|16.0|1|0|0|3.94|1.25|14|2|0|4|0|67
Shane McClanahan|TBR|13.7|1|0|0|3.95|1.17|13|1|0|11|0|59
Kris Bubic|KCR|22.7|2|0|0|3.97|1.06|26|2|2|10|0|89
Ron Marinaccio|SDP|11.3|0|0|0|3.97|0.97|10|2|0|2|0|42
Mick Abel|MIN|20.3|1|0|0|3.98|1.57|23|0|2|10|3|93
Paul Skenes|PIT|18.0|3|0|0|4.0|0.94|18|2|2|7|2|72
Aaron Nola|PHI|22.3|1|0|0|4.03|1.3|24|3|2|6|0|93
Logan Gilbert|SEA|29.0|1|0|0|4.03|1.17|32|3|2|5|1|115
Jack Flaherty|DET|20.0|0|0|0|4.05|1.4|21|1|1|14|3|88
Matt Strahm|KCR|6.7|0|0|5|4.05|1.2|6|1|0|3|1|29
Gus Varland|WSH|6.7|0|2|2|4.05|1.35|7|1|0|3|0|29
Max Meyer|MIA|19.7|1|0|0|4.12|1.32|20|2|0|9|0|88
David Bednar|NYY|8.7|1|6|0|4.15|1.85|12|0|0|5|0|42
Dietrich Enns|BAL|4.3|0|0|0|4.15|1.62|7|0|0|5|0|20
Cody Laweryson|MIN|6.3|0|1|1|4.26|0.79|8|0|0|2|2|26
Matthew Liberatore|STL|21.0|0|0|0|4.29|1.57|12|5|1|8|0|94
Ryan Weathers|NYY|21.0|0|0|0|4.29|1.38|28|4|1|7|0|90
Kumar Rocker|TEX|14.7|0|0|0|4.3|1.5|14|2|0|7|1|67
Jeff Hoffman|TOR|8.3|1|2|0|4.32|1.8|18|1|0|5|0|41
Richard Lovelady|WSH|8.3|1|0|0|4.32|1.92|7|1|0|6|0|39
Abner Uribe|MIL|8.3|1|1|4|4.32|1.32|9|0|0|3|0|35
Brandon Woodruff|MIL|16.7|1|0|0|4.32|1.08|16|3|1|3|1|69
Emilio Pagán|CIN|10.3|1|6|0|4.35|1.16|10|2|0|6|1|43
Brandon Williamson|CIN|20.7|2|0|0|4.35|1.35|12|3|1|13|2|90
Sean Newcomb|CHW|12.3|0|0|1|4.38|1.38|13|0|0|5|0|53
Sean Burke|CHW|20.3|0|0|0|4.43|1.28|17|2|0|6|1|87
Sonny Gray|BOS|20.3|2|0|0|4.43|1.28|11|3|2|4|1|88
Yerry De los Santos|NYY|2.0|0|0|0|4.5|2.5|1|1|0|2|0|9
Hunter Gaddis|CLE|2.0|0|0|0|4.5|1.5|4|0|0|1|0|9
Kyle Hart|SDP|12.0|0|0|3|4.5|1.08|7|0|0|5|1|48
Janson Junk|MIA|22.0|0|0|0|4.5|1.32|15|2|1|6|1|93
Jonathan Loáisiga|ARI|10.0|0|1|4|4.5|1.3|8|1|0|1|1|42
Sean Manaea|NYM|16.0|0|0|0|4.5|1.44|12|2|0|7|0|70
Doug Nikhazy|CHW|2.0|0|0|0|4.5|1.5|1|0|0|2|0|9
Nick Pivetta|SDP|16.0|1|0|0|4.5|1.13|24|0|0|6|0|66
Drew Pomeranz|LAA|8.0|0|0|5|4.5|1.13|5|1|0|3|1|33
Paxton Schultz|WSH|8.0|0|0|0|4.5|1.13|7|2|0|1|1|35
Cade Smith|CLE|10.0|2|4|0|4.5|1.4|11|1|0|3|0|45
Walker Buehler|SDP|17.7|1|0|0|4.58|1.25|18|1|1|6|1|73
Cade Cavalli|WSH|15.7|0|0|0|4.6|1.72|13|0|1|12|3|74
Brad Lord|WSH|15.7|1|0|2|4.6|1.21|12|3|0|4|2|67
Patrick Corbin|TOR|9.7|0|0|0|4.66|1.24|9|2|0|2|2|41
Tanner Banks|PHI|7.7|0|0|1|4.7|1.43|8|1|0|2|0|33
Brad Keller|PHI|7.7|0|0|4|4.7|1.3|8|1|0|2|0|33
Peyton Pallette|CLE|7.7|0|0|0|4.7|1.3|9|1|0|3|2|34
Andre Pallante|STL|15.0|1|0|0|4.8|1.53|7|1|0|8|2|70
Tanner Bibee|CLE|24.3|0|0|0|4.81|1.52|23|4|1|9|0|107
Mason Montgomery|PIT|9.3|1|0|4|4.82|1.71|19|1|0|5|0|44
Ryan Zeferjahn|LAA|9.3|1|0|0|4.82|1.07|13|0|0|4|1|40
Jameson Taillon|CHC|16.7|0|0|0|4.86|1.26|17|5|1|6|1|71
Jack Leiter|TEX|20.3|1|0|0|4.87|1.48|24|3|1|9|1|90
Shane Baz|BAL|22.0|0|0|0|4.91|1.55|19|2|0|8|2|97
Zak Kent|MIN|3.7|0|0|0|4.91|2.45|2|2|0|5|0|20
Jared Shuster|STL|3.7|0|0|0|4.91|1.09|1|0|0|2|0|15
Cole Sulser|TBR|11.0|1|0|1|4.91|2.0|8|1|0|6|0|54
Tyler Wells|BAL|11.0|0|0|4|4.91|1.45|11|2|0|4|1|49
Cole Wilcox|SEA|7.3|0|0|0|4.91|1.23|9|1|0|2|2|32
Slade Cecconi|CLE|19.7|0|0|0|5.03|1.37|18|3|1|10|3|88
Adrian Houser|SFG|16.0|0|0|0|5.06|1.56|10|1|0|5|0|74
Orion Kerkering|PHI|5.3|0|0|1|5.06|1.31|4|1|0|1|0|23
Jeremiah Estrada|SDP|7.0|1|0|3|5.14|1.43|8|0|0|5|0|30
Calvin Faucher|MIA|7.0|1|0|1|5.14|1.86|11|0|0|8|0|35
Mason Fluharty|TOR|7.0|0|0|3|5.14|1.57|10|0|0|4|0|32
Albert Suárez|BAL|7.0|1|1|0|5.14|1.29|3|2|0|2|0|29
Joe Boyle|TBR|15.7|0|0|0|5.17|1.09|16|1|1|6|0|66
Shawn Armstrong|CLE|8.7|1|0|3|5.19|1.73|12|2|0|7|1|41
Scott Barlow|ATH|8.7|0|0|4|5.19|1.38|7|2|0|6|0|38
Alex Lange|KCR|8.7|0|0|0|5.19|1.62|14|1|0|5|1|40
Christian Roa|HOU|8.7|0|0|0|5.19|1.96|6|1|0|7|3|43
Kyle Leahy|STL|19.0|2|0|0|5.21|1.53|13|4|0|8|1|86
Sam Aldegheri|LAA|1.7|1|0|0|5.4|1.8|2|1|0|1|0|8
Cody Bolton|HOU|8.3|0|1|0|5.4|1.68|11|1|0|7|1|39
Aaron Bummer|ATL|5.0|0|0|2|5.4|1.6|5|1|0|3|1|25
Luis Castillo|SEA|18.3|0|0|0|5.4|1.8|17|1|1|7|1|88
Luis Curvelo|TEX|5.0|0|0|1|5.4|1.6|3|2|0|2|0|22
Enmanuel De Jesus|DET|6.7|1|0|0|5.4|1.95|8|0|0|4|0|34
