name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
William Contreras|MIL|89|2|11|13|0|10|11|24|78|0|0.308|0.393|0.462
José Tena|WSH|42|0|7|6|0|10|2|12|39|0|0.308|0.357|0.333
Brice Turang|MIL|94|4|19|18|6|20|17|23|75|1|0.307|0.43|0.56
Ernie Clement|TOR|96|0|8|5|1|7|1|29|95|0|0.305|0.313|0.411
Nick Fortes|TBR|63|1|4|7|0|9|2|18|59|0|0.305|0.349|0.424
Michael Conforto|CHC|31|0|3|5|0|10|7|7|23|1|0.304|0.452|0.435
Troy Johnston|COL|76|2|7|10|1|15|5|21|69|0|0.304|0.36|0.478
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|0.304|0.437|0.518
Luis Arraez|SFG|94|0|11|6|2|4|5|26|86|2|0.302|0.333|0.36
Jorbit Vivas|WSH|56|0|10|2|0|6|6|13|43|1|0.302|0.426|0.349
Jake Mangum|PIT|56|0|10|1|3|9|5|15|50|0|0.3|0.364|0.34
Kyle Stowers|MIA|13|0|2|0|0|2|2|3|10|0|0.3|0.462|0.4
Weston Wilson|BAL|13|0|4|2|1|5|2|3|10|0|0.3|0.462|0.4
Sal Stewart|CIN|104|8|17|24|6|18|15|26|87|2|0.299|0.394|0.632
Casey Schmitt|SFG|73|2|7|8|1|16|2|20|67|1|0.299|0.342|0.493
Jonny DeLuca|TBR|49|2|10|13|2|9|2|14|47|0|0.298|0.327|0.511
Ezequiel Duran|TEX|51|1|7|8|3|11|4|14|47|0|0.298|0.353|0.447
Jeremiah Jackson|BAL|78|5|8|17|1|18|2|22|74|1|0.297|0.321|0.527
Jose Fernandez|ARI|64|2|11|9|1|16|0|19|64|0|0.297|0.297|0.422
Matt Chapman|SFG|98|1|13|12|0|17|7|27|91|0|0.297|0.347|0.396
CJ Abrams|WSH|100|6|14|19|5|15|12|24|81|1|0.296|0.42|0.556
Luke Raley|SEA|77|5|11|13|0|29|4|21|71|0|0.296|0.351|0.592
Brandon Nimmo|TEX|106|4|13|11|1|22|9|28|95|0|0.295|0.368|0.495
Tyler Freeman|COL|40|0|1|5|2|6|2|10|34|0|0.294|0.385|0.294
Oswald Peraza|LAA|73|4|9|8|3|17|6|19|65|0|0.292|0.361|0.538
Jordan Walker|STL|98|8|19|16|4|31|9|26|89|0|0.292|0.357|0.607
Alex Call|LAD|31|0|6|2|0|3|6|7|24|0|0.292|0.452|0.375
Josh Jung|TEX|80|2|8|9|0|14|7|21|72|1|0.292|0.35|0.486
Max Muncy|LAD|89|8|18|9|0|27|10|23|79|0|0.291|0.371|0.608
Oneil Cruz|PIT|103|6|17|19|10|33|9|27|93|0|0.29|0.359|0.538
Masataka Yoshida|BOS|48|0|5|5|1|6|9|11|38|0|0.289|0.438|0.368
Freddie Freeman|LAD|93|3|9|14|0|10|9|24|83|0|0.289|0.366|0.506
Bobby Witt Jr.|KCR|105|0|4|10|8|20|13|26|90|2|0.289|0.371|0.367
Ceddanne Rafaela|BOS|75|1|10|7|0|15|5|19|66|0|0.288|0.373|0.379
Corbin Carroll|ARI|87|3|15|16|2|24|13|21|73|1|0.288|0.391|0.575
Carlos Correa|HOU|97|1|16|13|1|16|12|24|84|1|0.286|0.371|0.381
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0.286|0.286|0.429
Michael Harris II|ATL|82|4|9|11|2|15|5|22|77|0|0.286|0.329|0.468
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0.286|0.333|0.357
Felix Reyes|PHI|7|1|1|1|0|1|0|2|7|0|0.286|0.286|0.714
Brayan Rocchio|CLE|87|3|10|15|1|10|10|21|74|0|0.284|0.384|0.446
Justin Crawford|PHI|69|0|7|2|1|13|7|17|60|0|0.283|0.377|0.4
Wilyer Abreu|BOS|92|3|11|11|0|19|7|24|85|0|0.282|0.337|0.459
Luis Campusano|SDP|35|1|5|6|0|9|3|9|32|0|0.281|0.343|0.5
Taylor Ward|BAL|114|1|11|11|1|19|16|27|96|1|0.281|0.386|0.438
Matt Shaw|CHC|62|2|7|9|1|12|3|16|57|1|0.281|0.311|0.474
Ozzie Albies|ATL|102|4|15|11|0|14|7|26|93|1|0.28|0.333|0.441
Javier Báez|DET|65|1|8|5|1|13|2|17|61|1|0.279|0.308|0.41
Cody Bellinger|NYY|96|3|16|11|3|12|15|22|79|2|0.278|0.385|0.456
Randy Arozarena|SEA|105|2|18|9|5|20|12|25|90|0|0.278|0.381|0.4
Alec Burleson|STL|103|3|10|17|1|13|12|25|90|1|0.278|0.359|0.444
Jeff McNeil|ATH|83|1|7|5|1|12|8|20|72|1|0.278|0.361|0.389
Will Smith|LAD|81|2|10|11|0|14|8|20|72|1|0.278|0.346|0.375
Brandon Marsh|PHI|80|2|8|11|2|17|3|21|76|1|0.276|0.3|0.408
Kyle Isbel|KCR|67|2|8|6|4|16|4|16|58|0|0.276|0.333|0.431
Joey Loperfido|HOU|66|0|7|7|1|19|6|16|58|1|0.276|0.348|0.362
Elly De La Cruz|CIN|108|8|21|18|6|31|10|27|98|0|0.276|0.343|0.571
Daylen Lile|WSH|106|2|14|10|1|16|8|27|98|0|0.276|0.33|0.398
Angel Martínez|CLE|75|3|10|10|4|14|3|19|69|0|0.275|0.324|0.464
Gabriel Moreno|ARI|45|0|6|5|0|8|3|11|40|1|0.275|0.333|0.4
Everson Pereira|CHW|46|3|7|6|0|14|3|11|40|1|0.275|0.348|0.6
Bryce Harper|PHI|96|5|11|13|1|15|12|23|84|0|0.274|0.365|0.536
Maikel Garcia|KCR|107|2|14|10|2|19|11|26|95|1|0.274|0.346|0.4
Griffin Conine|MIA|25|2|6|4|2|6|2|6|22|0|0.273|0.36|0.591
Willson Contreras|BOS|93|4|10|12|0|25|11|21|77|0|0.273|0.398|0.455
Leo Jiménez|MIA|12|0|0|0|0|0|1|3|11|0|0.273|0.333|0.273
Garrett Mitchell|MIL|72|1|10|18|4|27|16|15|55|0|0.273|0.437|0.436
Brett Sullivan|COL|34|0|0|4|0|8|1|9|33|0|0.273|0.294|0.364
George Valera|CLE|23|0|0|4|0|3|1|6|22|0|0.273|0.304|0.364
Nick Gonzales|PIT|74|0|8|11|1|15|4|19|70|0|0.271|0.311|0.314
Mickey Moniak|COL|63|6|10|12|1|15|3|16|59|1|0.271|0.302|0.627
Shohei Ohtani|LAD|107|5|15|11|1|25|16|23|85|2|0.271|0.396|0.494
Teoscar Hernández|LAD|81|4|13|13|1|24|6|20|74|1|0.27|0.321|0.486
Richie Palacios|TBR|47|1|7|4|3|7|7|10|37|0|0.27|0.426|0.378
Jo Adell|LAA|107|3|11|14|1|22|3|27|100|0|0.27|0.318|0.38
Jacob Wilson|ATH|101|2|10|12|1|13|1|27|100|0|0.27|0.277|0.37
Dominic Canzone|SEA|58|3|9|10|1|10|4|14|52|1|0.269|0.328|0.558
Austin Hedges|CLE|33|0|6|2|0|8|2|8|30|1|0.267|0.303|0.333
Brandon Lowe|PIT|88|7|12|18|0|18|12|20|75|0|0.267|0.375|0.6
Jose Altuve|HOU|109|3|17|8|1|21|15|25|94|0|0.266|0.367|0.426
Matt Olson|ATL|108|6|19|19|0|28|13|25|94|1|0.266|0.352|0.564
Xander Bogaerts|SDP|92|3|6|14|2|10|9|22|83|0|0.265|0.337|0.398
Riley Greene|DET|98|1|15|14|1|22|15|22|83|0|0.265|0.378|0.386
Fernando Tatis Jr.|SDP|99|0|9|12|6|23|11|22|83|3|0.265|0.347|0.313
Jesús Sánchez|TOR|77|2|8|11|0|12|5|18|68|2|0.265|0.325|0.397
Dillon Dingler|DET|83|5|11|18|0|14|5|19|72|0|0.264|0.346|0.528
Daulton Varsho|TOR|80|3|8|7|1|13|7|19|72|0|0.264|0.338|0.444
Adrian Del Castillo|ARI|39|1|4|9|0|9|1|10|38|0|0.263|0.282|0.395
Adam Frazier|LAA|47|1|10|4|0|14|6|10|38|0|0.263|0.378|0.421
Drew Gilbert|SFG|21|1|2|2|0|5|2|5|19|0|0.263|0.333|0.421
Ryan Jeffers|MIN|69|2|11|12|0|13|10|15|57|0|0.263|0.382|0.439
Trevor Larnach|MIN|51|1|7|7|0|8|13|10|38|0|0.263|0.451|0.395
Max Muncy|ATH|93|2|15|7|2|33|4|22|84|2|0.262|0.312|0.44
Christian Walker|HOU|102|5|16|18|0|17|12|23|88|1|0.261|0.353|0.511
Junior Caminero|TBR|106|5|14|10|0|18|13|24|92|1|0.261|0.349|0.457
Ty France|SDP|29|1|4|1|0|4|1|7|27|0|0.259|0.31|0.407
Derek Hill|CHW|31|1|4|1|3|10|4|7|27|0|0.259|0.355|0.37
Ramón Laureano|SDP|89|4|12|15|3|24|6|21|81|1|0.259|0.315|0.481
Jung Hoo Lee|SFG|90|1|8|9|0|13|7|21|81|2|0.259|0.311|0.37
Heliot Ramos|SFG|86|2|8|13|0|27|5|21|81|0|0.259|0.302|0.383
J.T. Realmuto|PHI|61|1|5|4|0|11|5|14|54|0|0.259|0.344|0.352
Edouard Julien|COL|66|1|6|8|2|17|8|15|58|0|0.259|0.348|0.345
Victor Caratini|MIN|76|1|5|10|0|9|7|16|62|3|0.258|0.355|0.323
Dane Myers|CIN|38|1|7|3|1|6|6|8|31|0|0.258|0.395|0.355
Carter Jensen|KCR|75|5|9|12|0|22|7|17|66|1|0.258|0.333|0.515
Masyn Winn|STL|82|1|11|9|3|17|9|18|70|1|0.257|0.354|0.4
Seiya Suzuki|CHC|48|1|7|4|0|12|7|10|39|0|0.256|0.396|0.359
Andrés Giménez|TOR|88|3|7|12|4|13|4|21|82|1|0.256|0.287|0.427
Bryan Reynolds|PIT|101|3|15|15|1|27|17|21|82|1|0.256|0.386|0.402
Jeremy Peña|HOU|46|0|5|0|1|6|3|11|43|0|0.256|0.304|0.349
Spencer Horwitz|PIT|68|2|8|5|0|13|11|14|55|1|0.255|0.382|0.4
Brandon Lockridge|MIL|62|0|5|6|4|16|6|14|55|0|0.255|0.328|0.309
Jac Caglianone|KCR|79|1|7|2|0|25|6|18|71|0|0.254|0.329|0.38
Jacob Young|WSH|76|2|9|12|1|12|3|18|71|0|0.254|0.293|0.394
Josh Bell|MIN|92|3|17|15|0|18|11|20|79|1|0.253|0.348|0.43
Chase Meidroth|CHW|93|1|14|2|1|19|11|20|79|0|0.253|0.344|0.354
Giancarlo Stanton|NYY|85|3|7|13|1|25|6|20|79|0|0.253|0.306|0.418
Nick Allen|HOU|22|0|5|0|0|5|2|5|20|0|0.25|0.318|0.3
Francisco Alvarez|NYM|72|4|8|5|0|13|8|15|60|0|0.25|0.357|0.467
Jake Burger|TEX|97|5|10|17|0|30|3|23|92|1|0.25|0.278|0.457
José Fermín|STL|25|1|2|2|0|6|3|5|20|1|0.25|0.333|0.45
Tristan Gray|MIN|41|2|4|11|0|15|2|9|36|1|0.25|0.3|0.444
Vaughn Grissom|LAA|24|0|3|2|0|2|6|4|16|1|0.25|0.435|0.25
P.J. Higgins|CIN|9|0|0|0|0|3|1|2|8|0|0.25|0.333|0.25
Bryce Johnson|SDP|18|0|2|2|3|7|1|4|16|0|0.25|0.294|0.375
Scott Kingery|CHC|4|0|2|0|1|0|0|1|4|0|0.25|0.25|0.25
Ronny Mauricio|NYM|4|0|0|1|0|2|0|1|4|0|0.25|0.25|0.25
James McCann|ARI|34|0|3|4|0|11|1|8|32|0|0.25|0.273|0.344
Parker Meadows|DET|39|0|3|2|3|10|2|9|36|0|0.25|0.308|0.333
Tristan Peters|CHW|52|0|2|1|2|16|4|12|48|0|0.25|0.308|0.271
Amed Rosario|NYY|53|3|5|9|0|8|4|12|48|1|0.25|0.302|0.5
Cam Smith|HOU|99|3|15|11|4|22|11|21|84|2|0.25|0.337|0.417
Andrew Vaughn|MIL|4|0|0|1|0|0|0|1|4|0|0.25|0.25|0.25
Willy Adames|SFG|99|3|12|6|0|28|5|23|93|0|0.247|0.293|0.452
Luis García Jr.|WSH|81|1|10|15|2|12|4|19|77|0|0.247|0.284|0.364
Connor Norby|MIA|85|2|6|7|0|24|7|18|73|1|0.247|0.341|0.397
Alex Bregman|CHC|107|2|6|9|1|16|12|23|94|1|0.245|0.327|0.34
Gleyber Torres|DET|105|1|14|7|0|17|17|21|86|1|0.244|0.371|0.302
Kyle Tucker|LAD|99|3|16|13|3|23|12|21|86|1|0.244|0.333|0.372
Cole Young|SEA|98|2|15|11|1|23|11|21|86|0|0.244|0.337|0.36
Ian Happ|CHC|98|6|14|11|1|29|15|20|82|0|0.244|0.367|0.512
TJ Rumfield|COL|90|3|7|11|0|16|7|20|82|1|0.244|0.3|0.39
Miguel Amaya|CHC|44|1|7|4|0|11|6|9|37|0|0.243|0.364|0.351
Jake Meyers|HOU|43|1|5|4|1|8|4|9|37|1|0.243|0.326|0.378
Luis Robert Jr.|NYM|86|2|9|7|2|16|12|18|74|0|0.243|0.349|0.351
James Wood|WSH|118|8|23|19|4|36|21|23|95|0|0.242|0.39|0.558
Ronald Acuña Jr.|ATL|108|1|10|5|4|21|13|22|91|1|0.242|0.352|0.352
David Fry|CLE|35|0|5|0|0|12|6|7|29|0|0.241|0.371|0.276
Tyler Heineman|TOR|34|0|4|1|0|7|1|7|29|0|0.241|0.29|0.241
Kyle Higashioka|TEX|34|1|5|3|0|9|5|7|29|0|0.241|0.353|0.345
Brady House|WSH|93|2|11|8|1|28|6|21|87|0|0.241|0.29|0.356
Tyler O'Neill|BAL|34|1|6|4|0|6|3|7|29|0|0.241|0.353|0.345
Eugenio Suárez|CIN|96|3|10|11|0|29|9|21|87|0|0.241|0.313|0.379
Ben Williamson|TBR|66|0|11|7|2|14|7|14|58|0|0.241|0.323|0.31
Hunter Goodman|COL|92|5|15|8|1|35|6|20|83|0|0.241|0.315|0.47
Jorge Barrosa|ARI|55|1|7|6|0|18|2|12|50|0|0.24|0.283|0.48
Jerar Encarnacion|SFG|25|0|1|0|0|5|0|6|25|0|0.24|0.24|0.28
David Hamilton|MIL|64|0|11|3|5|10|10|12|50|0|0.24|0.377|0.24
Carlos Narváez|BOS|53|0|4|1|1|14|2|12|50|0|0.24|0.269|0.28
Luis Torrens|NYM|25|0|2|4|0|5|0|6|25|0|0.24|0.24|0.32
Matt Vierling|DET|45|1|5|6|1|8|2|10|42|1|0.238|0.267|0.405
Wyatt Langford|TEX|84|1|9|4|3|19|4|19|80|0|0.238|0.274|0.363
Zach Neto|LAA|116|5|19|11|4|33|18|23|97|0|0.237|0.362|0.443
Julio Rodríguez|SEA|107|1|10|7|2|26|12|22|93|0|0.237|0.336|0.301
Jake Bauers|MIL|79|5|13|14|3|15|7|17|72|0|0.236|0.304|0.472
Aaron Judge|NYY|100|9|19|16|4|29|13|20|85|0|0.235|0.343|0.588
Joc Pederson|TEX|62|1|8|3|0|17|9|12|51|1|0.235|0.355|0.314
Mike Trout|LAA|110|7|23|16|3|22|23|20|85|0|0.235|0.409|0.529
Lenyn Sosa|TOR|49|0|3|7|0|8|0|11|47|1|0.234|0.229|0.34
Gary Sánchez|MIL|61|5|9|12|0|14|13|11|47|0|0.234|0.41|0.617
Trea Turner|PHI|102|2|14|7|3|19|8|22|94|0|0.234|0.294|0.34
José Caballero|NYY|82|1|9|8|9|21|4|18|77|0|0.234|0.28|0.325
Munetaka Murakami|CHW|99|9|18|17|0|31|21|18|77|1|0.234|0.394|0.584
José Ramírez|CLE|109|6|18|12|11|14|19|21|90|0|0.233|0.367|0.489
Geraldo Perdomo|ARI|90|1|10|5|6|9|13|17|73|2|0.233|0.341|0.342
Byron Buxton|MIN|95|4|18|6|0|26|7|20|86|1|0.233|0.295|0.43
Mark Vientos|NYM|60|2|6|6|0|12|3|13|56|1|0.232|0.267|0.375
Gavin Sheets|SDP|73|2|8|6|1|17|4|16|69|0|0.232|0.274|0.449
Willi Castro|COL|70|1|9|8|2|26|4|15|65|0|0.231|0.286|0.338
Nathan Church|STL|57|2|9|8|3|15|3|12|52|1|0.231|0.281|0.365
Nathaniel Lowe|CIN|30|0|0|5|0|6|4|6|26|0|0.231|0.333|0.346
Austin Riley|ATL|103|3|13|16|2|21|11|21|91|0|0.231|0.32|0.374
Victor Robles|SEA|13|0|0|1|1|3|0|3|13|0|0.231|0.231|0.308
Ryan Vilade|TBR|28|0|3|2|1|6|2|6|26|0|0.231|0.286|0.308
Nick Yorke|PIT|71|1|5|4|0|12|7|14|61|1|0.23|0.324|0.328
Jake Fraley|TBR|53|1|3|2|2|13|5|11|48|0|0.229|0.302|0.375
Jonathan Aranda|TBR|104|4|13|19|0|23|18|19|83|3|0.229|0.356|0.422
Iván Herrera|STL|107|2|9|11|0|16|18|19|83|1|0.229|0.393|0.349
JJ Wetherholt|STL|106|3|19|11|4|21|15|19|83|2|0.229|0.377|0.361
Nick Kurtz|ATH|105|3|12|10|3|34|26|18|79|0|0.228|0.419|0.38
Darell Hernaiz|ATH|25|1|2|1|2|5|3|5|22|0|0.227|0.32|0.364
Tanner Murray|CHW|24|1|2|2|0|4|1|5|22|0|0.227|0.292|0.364
Nolan Schanuel|LAA|100|2|6|14|0|15|10|20|88|2|0.227|0.3|0.33
Rafael Devers|SFG|98|2|7|9|0|30|5|21|93|0|0.226|0.265|0.312
Tyler Soderstrom|ATH|105|2|12|16|1|22|12|21|93|0|0.226|0.314|0.409
Isaac Paredes|HOU|83|2|9|10|0|16|8|16|71|0|0.225|0.337|0.366
Roman Anthony|BOS|97|1|11|4|2|25|16|18|80|0|0.225|0.361|0.325
Marcus Semien|NYM|90|1|4|8|1|18|7|18|80|1|0.225|0.292|0.3
Pete Crow-Armstrong|CHC|97|1|14|5|4|26|5|20|89|0|0.225|0.281|0.303
Owen Caissie|MIA|74|2|7|13|1|32|4|15|67|2|0.224|0.27|0.388
Nolan Arenado|ARI|79|3|8|11|0|17|2|17|76|1|0.224|0.241|0.368
Jorge Soler|LAA|91|5|13|19|0|31|10|17|76|2|0.224|0.33|0.461
Steven Kwan|CLE|108|1|10|8|2|12|11|21|94|1|0.223|0.308|0.287
Santiago Espinal|LAD|20|0|2|2|0|2|0|4|18|0|0.222|0.222|0.278
Hunter Feduccia|TBR|32|0|3|4|0|12|5|6|27|0|0.222|0.344|0.222
Jonah Heim|ATL|30|0|1|2|0|5|3|6|27|0|0.222|0.3|0.333
Sam Huff|BAL|9|0|1|1|0|5|0|2|9|0|0.222|0.222|0.333
Danny Jansen|TEX|58|1|3|6|0|19|4|12|54|0|0.222|0.276|0.352
Luke Keaschall|MIN|97|1|11|12|5|14|6|20|90|1|0.222|0.268|0.289
Chase DeLauter|CLE|90|5|12|15|0|11|12|17|77|1|0.221|0.322|0.506
Keibert Ruiz|WSH|44|1|4|9|0|5|1|9|41|1|0.22|0.25|0.366
Bo Bichette|NYM|102|1|8|9|0|23|5|21|96|1|0.219|0.255|0.281
Austin Hays|CHW|33|1|2|6|0|12|1|7|32|0|0.219|0.242|0.344
Edmundo Sosa|PHI|34|1|4|5|0|7|2|7|32|0|0.219|0.265|0.375
Ketel Marte|ARI|95|4|14|9|0|18|8|19|87|0|0.218|0.284|0.379
Ezequiel Tovar|COL|92|1|8|6|2|26|3|19|87|0|0.218|0.261|0.345
Jahmai Jones|DET|23|1|2|3|0|6|0|5|23|0|0.217|0.217|0.391
Nathan Lukes|TOR|50|0|4|7|0|6|1|10|46|1|0.217|0.26|0.261
Starling Marte|KCR|24|0|1|0|0|7|0|5|23|0|0.217|0.25|0.304
Curtis Mead|WSH|51|3|7|10|2|6|5|10|46|0|0.217|0.294|0.478
Jared Triolo|PIT|26|0|2|1|0|5|2|5|23|0|0.217|0.308|0.261
Kyle Schwarber|PHI|102|8|15|15|0|34|15|18|83|0|0.217|0.363|0.554
Kerry Carpenter|DET|73|4|5|12|0|27|9|13|60|2|0.217|0.329|0.433
Spencer Steer|CIN|83|4|10|6|0|25|6|16|74|1|0.216|0.289|0.432
Rhys Hoskins|CLE|68|1|9|6|0|19|12|12|56|0|0.214|0.353|0.357
Ryan Kreidler|MIN|18|2|2|4|0|3|4|3|14|0|0.214|0.389|0.714
Hao-Yu  Lee|DET|15|0|1|1|0|6|1|3|14|0|0.214|0.267|0.286
Andruw Monasterio|BOS|31|0|2|3|1|8|3|6|28|0|0.214|0.29|0.286
Jackson Merrill|SDP|97|3|15|13|4|23|6|19|89|0|0.213|0.271|0.382
Colson Montgomery|CHW|93|6|9|16|1|30|9|17|80|0|0.213|0.323|0.5
Agustín Ramírez|MIA|95|2|11|11|1|23|8|18|85|1|0.212|0.284|0.353
Mike Yastrzemski|ATL|80|0|10|5|1|22|8|15|71|0|0.211|0.3|0.282
Pete Alonso|BAL|105|2|11|8|1|29|14|19|90|0|0.211|0.324|0.344
Dylan Beavers|BAL|65|1|9|7|1|16|7|12|57|1|0.211|0.292|0.281
Adolis García|PHI|93|2|6|5|1|25|9|17|81|1|0.21|0.301|0.333
Bryson Stott|PHI|67|0|3|3|5|10|4|13|62|0|0.21|0.269|0.242
Zach McKinstry|DET|46|1|2|5|0|10|3|9|43|0|0.209|0.261|0.326
Brett Baty|NYM|70|0|6|7|2|22|1|14|67|2|0.209|0.214|0.284
Andrew Benintendi|CHW|72|1|6|6|0|25|5|14|67|0|0.209|0.264|0.358
Brenton Doyle|COL|73|1|10|2|5|25|6|14|67|0|0.209|0.274|0.284
Francisco Lindor|NYM|103|2|13|4|2|19|11|19|91|0|0.209|0.301|0.341
Eli White|ATL|26|1|2|4|0|4|1|5|24|1|0.208|0.231|0.375
Alex Freeland|LAD|65|1|6|5|0|22|5|12|58|1|0.207|0.266|0.293
Konnor Griffin|PIT|65|0|7|8|4|18|4|12|58|1|0.207|0.277|0.276
Michael Massey|KCR|31|1|2|4|0|8|1|6|29|1|0.207|0.226|0.414
Andrew McCutchen|TEX|32|1|3|5|0|14|2|6|29|1|0.207|0.25|0.379
Victor Scott II|STL|69|0|6|4|3|17|5|12|58|1|0.207|0.266|0.224
Kyle Karros|COL|78|1|10|3|2|15|14|13|63|1|0.206|0.346|0.286
Brooks Lee|MIN|74|3|6|12|0|16|5|14|68|0|0.206|0.27|0.353
Ramón Urías|STL|47|2|8|5|0|10|5|8|39|1|0.205|0.319|0.436
Nolan Gorman|STL|84|3|8|15|0|26|8|15|74|2|0.203|0.274|0.324
Corey Seager|TEX|96|5|16|13|1|24|14|16|79|2|0.203|0.323|0.43
Kazuma Okamoto|TOR|93|3|7|8|0|31|9|17|84|0|0.202|0.28|0.333
Gabriel Arias|CLE|32|2|2|4|0|12|2|6|30|0|0.2|0.25|0.433
Luken Baker|ARI|5|0|0|0|0|3|0|1|5|0|0.2|0.2|0.2
Lawrence Butler|ATH|83|2|8|9|4|21|8|15|75|0|0.2|0.277|0.307
Greg Jones|MIL|11|0|0|1|1|3|0|2|10|0|0.2|0.2|0.2
Isiah Kiner-Falefa|BOS|27|0|3|2|1|5|2|5|25|0|0.2|0.259|0.2
Royce Lewis|MIN|49|2|6|8|2|14|8|8|40|0|0.2|0.347|0.4
Kyle Manzardo|CLE|78|1|3|5|0|28|6|14|70|0|0.2|0.282|0.257
Tyrone Taylor|NYM|32|1|3|6|0|6|1|6|30|0|0.2|0.226|0.333
Tyler Tolbert|KCR|5|0|1|0|1|1|0|1|5|0|0.2|0.2|0.2
