name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Gabriel Moreno|ARI|45|0|6|5|0|8|3|11|40|1|0.275|0.333|0.4
Michael Conforto|CHC|28|0|3|3|0|10|6|6|22|0|0.273|0.429|0.364
Griffin Conine|MIA|25|2|6|4|2|6|2|6|22|0|0.273|0.36|0.591
Justin Crawford|PHI|61|0|7|1|1|13|4|15|55|0|0.273|0.344|0.382
Freddie Freeman|LAD|84|3|9|14|0|10|6|21|77|0|0.273|0.333|0.481
Leo Jiménez|MIA|12|0|0|0|0|0|1|3|11|0|0.273|0.333|0.273
Mickey Moniak|COL|48|5|7|9|1|12|3|12|44|1|0.273|0.313|0.659
Jesús Sánchez|TOR|62|2|7|10|0|11|3|15|55|2|0.273|0.323|0.436
Jac Caglianone|KCR|66|0|5|1|0|20|5|16|59|0|0.271|0.348|0.373
Jeff McNeil|ATH|66|0|5|3|1|11|6|16|59|0|0.271|0.348|0.339
Willy Adames|SFG|84|3|10|6|0|21|5|21|78|0|0.269|0.321|0.513
Ozzie Albies|ATL|85|4|13|9|0|13|5|21|78|1|0.269|0.318|0.436
Elly De La Cruz|CIN|87|6|16|11|5|27|9|21|78|0|0.269|0.345|0.551
Maikel Garcia|KCR|88|2|12|9|1|14|9|21|78|1|0.269|0.341|0.41
Richie Palacios|TBR|34|1|5|4|3|4|5|7|26|0|0.269|0.441|0.385
Shohei Ohtani|LAD|86|5|11|10|0|20|14|18|67|2|0.269|0.407|0.522
Dillon Dingler|DET|66|4|9|14|0|12|4|15|56|0|0.268|0.359|0.536
Miguel Amaya|CHC|37|1|7|4|0|9|6|8|30|0|0.267|0.405|0.4
Trevor Larnach|MIN|39|1|6|7|0|6|9|8|30|0|0.267|0.436|0.433
Spencer Horwitz|PIT|60|1|7|4|0|11|9|13|49|1|0.265|0.383|0.367
Carlos Correa|HOU|76|1|14|9|1|12|8|18|68|0|0.265|0.342|0.368
Oswald Peraza|LAA|60|4|6|8|3|13|6|14|53|0|0.264|0.339|0.547
Xander Bogaerts|SDP|78|3|5|13|2|7|6|19|72|0|0.264|0.321|0.417
Bryan Reynolds|PIT|87|3|14|12|1|23|13|19|72|1|0.264|0.379|0.431
Cam Smith|HOU|83|3|12|10|3|19|8|19|72|1|0.264|0.341|0.458
Jake Burger|TEX|80|5|9|16|0|23|2|20|76|1|0.263|0.288|0.513
Andruw Monasterio|BOS|22|0|2|3|0|5|3|5|19|0|0.263|0.364|0.368
Tanner Murray|CHW|21|1|2|2|0|3|1|5|19|0|0.263|0.333|0.421
Luis Torrens|NYM|19|0|2|4|0|2|0|5|19|0|0.263|0.263|0.316
Taylor Trammell|HOU|22|0|2|3|0|7|3|5|19|0|0.263|0.364|0.316
Bobby Witt Jr.|KCR|87|0|4|8|8|17|10|20|76|1|0.263|0.345|0.329
Daulton Varsho|TOR|72|3|8|7|1|11|7|17|65|0|0.262|0.333|0.462
Eugenio Suárez|CIN|77|3|6|11|0|21|8|18|69|0|0.261|0.338|0.42
Trea Turner|PHI|83|2|13|7|1|17|6|20|77|0|0.26|0.313|0.39
Jacob Wilson|ATH|78|1|7|9|1|10|1|20|77|0|0.26|0.269|0.338
Joey Loperfido|HOU|66|0|7|6|1|19|6|15|58|1|0.259|0.333|0.345
Max Muncy|LAD|70|6|14|7|0|23|8|16|62|0|0.258|0.343|0.565
Hunter Goodman|COL|74|5|13|8|1|30|6|17|66|0|0.258|0.338|0.515
Michael Harris II|ATL|69|3|7|8|2|15|3|17|66|0|0.258|0.29|0.409
TJ Rumfield|COL|74|2|6|8|0|14|7|17|66|1|0.258|0.324|0.394
Giancarlo Stanton|NYY|76|2|6|10|1|24|6|18|70|0|0.257|0.316|0.386
Gary Sánchez|MIL|47|5|8|9|0|12|12|9|35|0|0.257|0.447|0.714
Jeremy Peña|HOU|46|0|5|0|1|6|3|11|43|0|0.256|0.304|0.349
Brandon Lockridge|MIL|53|0|5|5|3|11|5|12|47|0|0.255|0.327|0.298
Nick Yorke|PIT|57|0|3|2|0|10|7|12|47|1|0.255|0.368|0.319
Jake Bauers|MIL|66|5|13|13|3|14|7|15|59|0|0.254|0.333|0.525
Connor Norby|MIA|70|2|6|6|0|17|6|15|59|1|0.254|0.357|0.441
Josh Bell|MIN|79|3|15|14|0|17|10|17|67|1|0.254|0.354|0.463
Riley Greene|DET|81|1|13|12|1|19|10|18|71|0|0.254|0.346|0.38
Jackson Merrill|SDP|82|3|15|13|4|14|6|19|75|0|0.253|0.309|0.453
Steven Kwan|CLE|89|1|9|7|2|9|8|20|79|0|0.253|0.33|0.329
James Wood|WSH|98|6|17|16|4|32|14|21|83|0|0.253|0.367|0.542
Nick Allen|HOU|22|0|5|0|0|5|2|5|20|0|0.25|0.318|0.3
Ezequiel Duran|TEX|44|1|6|6|3|11|4|10|40|0|0.25|0.318|0.375
Jerar Encarnacion|SFG|24|0|1|0|0|4|0|6|24|0|0.25|0.25|0.292
Dustin Harris|CHW|16|0|2|1|2|1|4|3|12|0|0.25|0.438|0.333
P.J. Higgins|CIN|9|0|0|0|0|3|1|2|8|0|0.25|0.333|0.25
Eloy Jiménez|TOR|9|0|0|0|0|2|1|2|8|0|0.25|0.333|0.25
Ronny Mauricio|NYM|4|0|0|1|0|2|0|1|4|0|0.25|0.25|0.25
Parker Meadows|DET|39|0|3|2|3|10|2|9|36|0|0.25|0.308|0.333
Agustín Ramírez|MIA|78|1|10|10|1|17|8|17|68|1|0.25|0.333|0.382
Matt Shaw|CHC|57|2|7|9|1|11|3|13|52|1|0.25|0.286|0.462
Brett Sullivan|COL|29|0|0|4|0|8|1|7|28|0|0.25|0.276|0.357
Andrew Vaughn|MIL|4|0|0|1|0|0|0|1|4|0|0.25|0.25|0.25
Ronald Acuña Jr.|ATL|90|1|8|5|4|17|11|19|77|1|0.247|0.344|0.377
Junior Caminero|TBR|86|4|10|8|0|17|12|18|73|1|0.247|0.349|0.438
Cody Bellinger|NYY|82|1|11|6|3|12|11|17|69|2|0.246|0.341|0.348
Jung Hoo Lee|SFG|78|1|7|8|0|11|7|17|69|2|0.246|0.308|0.377
Fernando Tatis Jr.|SDP|84|0|8|10|4|18|10|17|69|3|0.246|0.337|0.304
Chase DeLauter|CLE|76|5|11|12|0|11|10|16|65|1|0.246|0.342|0.554
Nick Gonzales|PIT|65|0|7|10|1|13|4|15|61|0|0.246|0.292|0.295
Victor Caratini|MIN|70|1|5|8|0|9|7|14|57|2|0.246|0.357|0.316
Owen Caissie|MIA|60|2|6|13|1|25|4|13|53|2|0.245|0.3|0.434
Jacob Young|WSH|57|2|8|8|1|10|2|13|53|0|0.245|0.286|0.434
Edouard Julien|COL|51|1|5|5|2|13|6|11|45|0|0.244|0.333|0.333
Zach Neto|LAA|97|5|18|10|1|27|14|20|82|0|0.244|0.361|0.476
Jake Meyers|HOU|43|1|5|4|1|8|4|9|37|1|0.243|0.326|0.378
Amed Rosario|NYY|40|2|2|6|0|7|2|9|37|1|0.243|0.275|0.486
Luis Robert Jr.|NYM|74|2|9|7|2|16|12|15|62|0|0.242|0.365|0.355
Tyler O'Neill|BAL|34|1|6|4|0|6|3|7|29|0|0.241|0.353|0.345
Gavin Sheets|SDP|61|2|8|6|1|15|3|14|58|0|0.241|0.279|0.483
Ben Williamson|TBR|61|0|11|6|2|13|6|13|54|0|0.241|0.317|0.315
Alex Bregman|CHC|89|2|5|9|1|15|9|19|79|1|0.241|0.315|0.329
Aaron Judge|NYY|86|8|16|14|4|24|9|18|75|0|0.24|0.329|0.6
James McCann|ARI|27|0|2|3|0|10|1|6|25|0|0.24|0.269|0.36
Dane Myers|CIN|27|0|2|1|1|5|2|6|25|0|0.24|0.296|0.24
Austin Riley|ATL|84|3|12|13|2|17|9|18|75|0|0.24|0.321|0.413
Edmundo Sosa|PHI|27|1|4|5|0|5|2|6|25|0|0.24|0.296|0.44
Tyrone Taylor|NYM|27|1|3|6|0|3|1|6|25|0|0.24|0.269|0.4
Byron Buxton|MIN|79|3|15|4|0|20|6|17|71|1|0.239|0.304|0.437
Gleyber Torres|DET|86|1|12|5|0|14|14|17|71|1|0.239|0.36|0.31
Mike Trout|LAA|91|7|21|16|2|19|18|17|71|0|0.239|0.407|0.577
Kyle Tucker|LAD|84|2|15|11|3|19|12|17|71|1|0.239|0.345|0.352
Jorge Barrosa|ARI|50|0|5|4|0|17|2|11|46|0|0.239|0.286|0.435
Dylan Beavers|BAL|54|1|8|5|1|11|7|11|46|1|0.239|0.333|0.326
Mark Vientos|NYM|49|1|5|5|0|11|2|11|46|1|0.239|0.265|0.348
Lenyn Sosa|TOR|43|0|3|4|0|7|0|10|42|0|0.238|0.238|0.333
Victor Scott II|STL|60|0|5|3|3|15|3|12|51|1|0.235|0.273|0.255
Brooks Lee|MIN|60|3|6|11|0|11|3|13|56|0|0.232|0.283|0.411
Roman Anthony|BOS|80|1|11|3|1|21|10|16|69|0|0.232|0.338|0.348
Heliot Ramos|SFG|73|1|6|11|0|24|4|16|69|0|0.232|0.274|0.304
JJ Wetherholt|STL|86|3|15|9|4|14|12|16|69|2|0.232|0.36|0.377
José Fermín|STL|17|0|1|1|0|4|2|3|13|1|0.231|0.313|0.231
Chase Meidroth|CHW|75|1|8|2|1|16|8|15|65|0|0.231|0.315|0.338
Victor Robles|SEA|13|0|0|1|1|3|0|3|13|0|0.231|0.231|0.308
Jorge Soler|LAA|79|5|13|18|0|26|10|15|65|2|0.231|0.342|0.508
Cole Young|SEA|79|2|13|9|0|20|8|16|70|0|0.229|0.316|0.371
Blaze Alexander|BAL|50|0|6|1|3|15|3|10|44|0|0.227|0.292|0.25
Danny Jansen|TEX|48|1|3|6|0|14|4|10|44|0|0.227|0.292|0.341
Ryan Vilade|TBR|24|0|3|2|1|6|2|5|22|0|0.227|0.292|0.273
Pete Crow-Armstrong|CHC|81|1|12|5|4|24|4|17|75|0|0.227|0.275|0.293
Brady House|WSH|80|2|8|8|0|23|5|17|75|0|0.227|0.275|0.36
Ezequiel Tovar|COL|79|1|7|6|1|22|3|17|75|0|0.227|0.266|0.36
Bo Bichette|NYM|90|1|7|9|0|22|5|19|84|1|0.226|0.267|0.298
Luis García Jr.|WSH|66|1|9|10|1|9|4|14|62|0|0.226|0.273|0.355
Adolis García|PHI|77|2|5|5|1|20|7|15|67|1|0.224|0.312|0.373
Konnor Griffin|PIT|52|0|7|6|2|14|4|10|45|1|0.222|0.308|0.311
Isiah Kiner-Falefa|BOS|20|0|3|0|0|3|2|4|18|0|0.222|0.3|0.222
Royce Lewis|MIN|45|2|6|8|2|12|8|8|36|0|0.222|0.378|0.444
Nick Loftin|KCR|11|0|3|0|0|1|2|2|9|0|0.222|0.364|0.333
José Ramírez|CLE|92|4|12|10|9|11|15|17|77|0|0.221|0.348|0.429
Austin Hays|CHW|33|1|2|6|0|12|1|7|32|0|0.219|0.242|0.344
Brenton Doyle|COL|61|1|9|1|5|21|6|12|55|0|0.218|0.295|0.291
Logan O'Hoppe|LAA|67|1|6|8|0|12|8|12|55|1|0.218|0.343|0.291
Jared Triolo|PIT|26|0|2|1|0|5|2|5|23|0|0.217|0.308|0.261
Brayan Rocchio|CLE|72|2|8|8|0|8|9|13|60|0|0.217|0.338|0.35
Pete Alonso|BAL|88|2|10|8|1|22|13|16|74|0|0.216|0.341|0.365
Curtis Mead|WSH|41|1|4|5|2|5|4|8|37|0|0.216|0.293|0.378
José Caballero|NYY|70|1|6|8|9|19|4|14|65|0|0.215|0.271|0.323
Corey Seager|TEX|80|5|13|12|1|20|12|14|65|2|0.215|0.338|0.477
Rafael Devers|SFG|84|2|7|7|0|26|5|17|79|0|0.215|0.262|0.316
Jonathan Aranda|TBR|86|3|10|15|0|20|13|15|70|3|0.214|0.326|0.4
Willi Castro|COL|61|1|8|8|1|24|4|12|56|0|0.214|0.279|0.339
Nathan Church|STL|46|1|7|6|2|12|2|9|42|1|0.214|0.261|0.31
Isaac Collins|KCR|49|1|7|4|0|15|6|9|42|0|0.214|0.327|0.31
Jake Fraley|TBR|46|1|3|2|2|10|4|9|42|0|0.214|0.283|0.357
Ian Happ|CHC|80|5|9|10|0|27|9|15|70|0|0.214|0.313|0.486
Carter Jensen|KCR|62|4|6|10|0|20|5|12|56|1|0.214|0.274|0.446
Luis Matos|MIL|15|0|0|0|0|6|1|3|14|0|0.214|0.267|0.214
Andrew McCutchen|TEX|30|1|3|4|0|13|2|6|28|0|0.214|0.267|0.393
Joc Pederson|TEX|49|1|7|3|0|13|6|9|42|1|0.214|0.306|0.31
Tristan Peters|CHW|45|0|1|1|1|14|3|9|42|0|0.214|0.267|0.238
Rhys Hoskins|CLE|56|1|7|5|0|17|9|10|47|0|0.213|0.339|0.383
Ramón Urías|STL|38|2|6|4|0|8|4|7|33|0|0.212|0.316|0.485
Nolan Schanuel|LAA|80|2|4|11|0|11|8|15|71|1|0.211|0.288|0.324
Marcus Semien|NYM|78|1|3|8|0|16|5|15|71|1|0.211|0.269|0.296
Hunter Feduccia|TBR|23|0|2|2|0|10|4|4|19|0|0.211|0.348|0.211
Nolan Gorman|STL|66|3|7|12|0|22|7|12|57|2|0.211|0.288|0.368
Luke Keaschall|MIN|83|1|11|9|3|12|6|16|76|1|0.211|0.265|0.276
Pedro Pagés|STL|43|1|4|5|1|8|1|8|38|1|0.211|0.262|0.342
Julio Rodríguez|SEA|88|1|8|6|1|23|10|16|76|0|0.211|0.318|0.289
Dansby Swanson|CHC|79|4|19|12|1|19|15|13|62|2|0.21|0.354|0.419
Mike Yastrzemski|ATL|71|0|8|5|1|18|8|13|62|0|0.21|0.31|0.274
Zach McKinstry|DET|46|1|2|5|0|10|3|9|43|0|0.209|0.261|0.326
Thomas Saggese|STL|47|0|5|2|0|14|4|9|43|0|0.209|0.277|0.256
Kyle Schwarber|PHI|84|6|12|12|0|31|13|14|67|0|0.209|0.369|0.522
Alex Freeland|LAD|54|1|5|3|0|16|4|10|48|1|0.208|0.264|0.313
Tyler Soderstrom|ATH|82|2|9|14|1|18|10|15|72|0|0.208|0.305|0.389
Matt Vierling|DET|31|1|2|4|1|6|1|6|29|1|0.207|0.226|0.345
Geraldo Perdomo|ARI|78|1|9|4|6|7|11|13|63|2|0.206|0.316|0.302
Ketel Marte|ARI|79|4|10|9|0|17|6|15|73|0|0.205|0.266|0.397
Henry Davis|PIT|47|0|5|3|1|9|5|8|39|0|0.205|0.326|0.282
Joey Ortiz|MIL|54|0|8|4|4|13|3|10|49|0|0.204|0.25|0.204
Bryson Stott|PHI|59|0|2|3|4|10|4|11|54|0|0.204|0.271|0.222
Manny Machado|SDP|77|2|10|10|1|14|16|12|59|2|0.203|0.364|0.339
Spencer Torkelson|DET|73|0|5|6|0|19|13|12|59|0|0.203|0.356|0.254
Nolan Arenado|ARI|66|2|6|9|0|16|1|13|64|1|0.203|0.212|0.313
Nick Kurtz|ATH|82|1|8|6|2|30|18|13|64|0|0.203|0.378|0.297
Gabriel Arias|CLE|32|2|2|4|0|12|2|6|30|0|0.2|0.25|0.433
Luken Baker|ARI|5|0|0|0|0|3|0|1|5|0|0.2|0.2|0.2
Lawrence Butler|ATH|65|2|7|6|1|17|5|12|60|0|0.2|0.262|0.317
Gunnar Henderson|BAL|95|6|13|14|4|27|8|17|85|1|0.2|0.274|0.471
Darell Hernaiz|ATH|21|0|0|0|2|5|1|4|20|0|0.2|0.238|0.2
Iván Herrera|STL|87|1|6|8|0|10|18|13|65|1|0.2|0.391|0.292
Sam Huff|BAL|5|0|0|1|0|2|0|1|5|0|0.2|0.2|0.4
Francisco Lindor|NYM|91|1|12|1|2|16|10|16|80|0|0.2|0.297|0.313
Starling Marte|KCR|20|0|1|0|0|7|0|4|20|0|0.2|0.2|0.3
Reese McGuire|CHW|21|0|0|1|0|6|0|4|20|0|0.2|0.238|0.2
Isaac Paredes|HOU|66|0|6|6|0|14|7|11|55|0|0.2|0.333|0.273
Davis Schneider|TOR|37|1|8|5|0|11|7|6|30|0|0.2|0.351|0.367
Lane Thomas|KCR|42|0|3|1|2|8|7|7|35|0|0.2|0.333|0.229
Eli White|ATL|17|0|1|2|0|2|1|3|15|1|0.2|0.235|0.267
Trevor Story|BOS|85|2|5|17|1|26|2|16|81|2|0.198|0.212|0.321
Colson Montgomery|CHW|75|3|5|11|1|24|6|13|66|0|0.197|0.293|0.394
Kazuma Okamoto|TOR|73|2|5|4|0|24|7|13|66|0|0.197|0.274|0.303
Brett Baty|NYM|63|0|6|7|2|21|0|12|61|2|0.197|0.19|0.279
Colton Cowser|BAL|49|0|5|3|0|12|6|8|41|1|0.195|0.292|0.22
Carlos Narváez|BOS|43|0|3|0|0|14|1|8|41|0|0.195|0.214|0.195
Jake McCarthy|COL|44|0|1|3|5|10|4|7|36|0|0.194|0.293|0.306
Wyatt Langford|TEX|70|1|6|4|2|16|3|13|67|0|0.194|0.229|0.328
Kerry Carpenter|DET|62|3|4|10|0|23|7|10|52|2|0.192|0.29|0.385
David Fry|CLE|31|0|3|0|0|11|5|5|26|0|0.192|0.323|0.231
Kyle Karros|COL|63|0|7|1|2|14|11|10|52|0|0.192|0.333|0.212
Masyn Winn|STL|63|0|7|3|2|11|9|10|52|0|0.192|0.333|0.25
Dominic Canzone|SEA|48|2|7|7|1|9|4|8|42|1|0.19|0.271|0.429
Spencer Steer|CIN|68|3|6|5|0|20|3|12|63|1|0.19|0.235|0.381
Kyle Manzardo|CLE|65|1|3|3|0|23|5|11|58|0|0.19|0.277|0.259
Nasim Nuñez|WSH|68|0|9|5|7|14|8|11|58|0|0.19|0.299|0.207
