name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0.333|0.286|0.5
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|0.333|0.4|0.556
Felix Reyes|PHI|3|1|1|1|0|1|0|1|3|0|0.333|0.333|1.333
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0.333|0.333|0.333
Connor Wong|BOS|27|0|1|2|1|5|1|8|24|0|0.333|0.385|0.5
Ryan O'Hearn|PIT|84|4|11|15|1|14|11|23|70|2|0.329|0.417|0.543
Yordan Alvarez|HOU|109|10|19|21|1|11|19|28|86|1|0.326|0.459|0.756
Yandy Díaz|TBR|100|3|12|17|1|12|10|28|86|0|0.326|0.42|0.488
José Tena|WSH|40|0|7|6|0|9|2|12|37|0|0.324|0.375|0.351
Masataka Yoshida|BOS|44|0|5|5|1|6|9|11|34|0|0.324|0.477|0.412
Nico Hoerner|CHC|101|3|13|21|7|11|10|28|87|2|0.322|0.396|0.506
Javier Sanoja|MIA|53|0|1|9|2|6|3|16|50|0|0.32|0.358|0.38
Troy Johnston|COL|73|2|7|10|1|15|5|21|66|0|0.318|0.375|0.5
Jorge Mateo|ATL|24|1|8|3|1|8|2|7|22|0|0.318|0.375|0.5
Kevin McGonigle|DET|95|1|16|9|1|12|13|26|82|0|0.317|0.411|0.488
Carson Kelly|CHC|64|2|9|10|0|11|10|17|54|0|0.315|0.422|0.481
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0.314|0.375|0.451
Miguel Andujar|SDP|51|0|5|2|1|9|2|15|48|0|0.313|0.353|0.438
Drake Baldwin|ATL|106|5|23|21|0|18|8|30|96|0|0.313|0.377|0.51
Drew Gilbert|SFG|18|1|2|2|0|3|2|5|16|0|0.313|0.389|0.5
Casey Schmitt|SFG|69|2|7|7|1|16|2|20|64|0|0.313|0.362|0.516
CJ Abrams|WSH|95|6|14|19|5|13|11|24|77|1|0.312|0.432|0.584
Austin Martin|MIN|62|1|11|5|2|10|14|14|45|1|0.311|0.484|0.444
Brandon Nimmo|TEX|101|4|13|11|1|21|9|28|90|0|0.311|0.386|0.522
Jorbit Vivas|WSH|54|0|10|2|0|6|5|13|42|1|0.31|0.423|0.357
Hyeseong Kim|LAD|32|1|5|3|3|8|5|8|26|1|0.308|0.406|0.5
Jordan Walker|STL|94|8|19|16|4|29|9|26|85|0|0.306|0.372|0.635
Nick Fortes|TBR|63|1|4|7|0|9|2|18|59|0|0.305|0.349|0.424
Luis Arraez|SFG|90|0|10|6|2|4|5|25|82|2|0.305|0.337|0.366
Michael Conforto|CHC|31|0|3|5|0|10|7|7|23|1|0.304|0.452|0.435
Luke Raley|SEA|75|5|11|13|0|27|4|21|69|0|0.304|0.36|0.609
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|0.304|0.437|0.518
Shea Langeliers|ATH|98|7|16|13|0|27|9|27|89|0|0.303|0.367|0.584
Adrian Del Castillo|ARI|34|1|4|9|0|8|1|10|33|0|0.303|0.324|0.455
Max Muncy|LAD|85|8|18|9|0|25|9|23|76|0|0.303|0.376|0.632
Jonny DeLuca|TBR|45|2|10|11|2|7|2|13|43|0|0.302|0.333|0.512
Daniel Schneemann|CLE|58|2|9|11|1|16|5|16|53|0|0.302|0.362|0.528
William Contreras|MIL|84|2|10|11|0|10|11|22|73|0|0.301|0.393|0.466
Corbin Carroll|ARI|82|3|15|16|2|21|11|21|70|1|0.3|0.39|0.6
Jose Fernandez|ARI|60|2|10|9|1|15|0|18|60|0|0.3|0.3|0.433
Brice Turang|MIL|88|4|19|14|6|20|17|21|70|0|0.3|0.437|0.571
Mauricio Dubón|ATL|82|2|11|14|0|15|4|23|77|0|0.299|0.341|0.455
Colt Keith|DET|70|0|10|5|0|15|3|20|67|0|0.299|0.329|0.403
Everson Pereira|CHW|41|3|6|5|0|12|3|11|37|0|0.297|0.366|0.649
Ernie Clement|TOR|92|0|7|5|1|6|1|27|91|0|0.297|0.304|0.396
Wilyer Abreu|BOS|88|3|11|11|0|19|7|24|81|0|0.296|0.352|0.481
Freddie Freeman|LAD|89|3|9|14|0|10|7|24|81|0|0.296|0.36|0.519
Jeremiah Jackson|BAL|74|5|7|17|1|18|1|21|71|1|0.296|0.311|0.535
Tyler Freeman|COL|40|0|1|5|2|6|2|10|34|0|0.294|0.385|0.294
Adley Rutschman|BAL|39|0|3|3|0|6|5|10|34|0|0.294|0.385|0.471
George Valera|CLE|18|0|0|3|0|2|1|5|17|0|0.294|0.333|0.412
Taylor Ward|BAL|109|1|11|11|1|18|15|27|92|1|0.293|0.394|0.457
Javier Báez|DET|62|1|8|5|1|12|2|17|58|1|0.293|0.323|0.431
Matt Chapman|SFG|94|1|12|12|0|16|5|26|89|0|0.292|0.33|0.393
Oneil Cruz|PIT|99|6|16|19|9|32|9|26|89|0|0.292|0.364|0.551
Josh Jung|TEX|76|2|7|8|0|14|6|20|69|1|0.29|0.342|0.478
Sal Stewart|CIN|98|8|17|21|5|18|14|24|83|1|0.289|0.388|0.639
Ezequiel Duran|TEX|49|1|6|7|3|11|4|13|45|0|0.289|0.347|0.422
Michael Harris II|ATL|78|4|9|10|2|15|5|21|73|0|0.288|0.333|0.466
Bobby Witt Jr.|KCR|100|0|4|9|8|20|12|25|87|1|0.287|0.37|0.356
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0.286|0.286|0.429
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0.286|0.333|0.357
Richie Palacios|TBR|43|1|6|4|3|6|5|10|35|0|0.286|0.419|0.4
Ceddanne Rafaela|BOS|71|1|10|7|0|15|4|18|63|0|0.286|0.366|0.381
Brayan Rocchio|CLE|83|3|9|14|1|9|10|20|70|0|0.286|0.39|0.457
Weston Wilson|BAL|9|0|3|2|1|4|1|2|7|0|0.286|0.444|0.429
Daylen Lile|WSH|101|2|14|9|1|16|6|27|95|0|0.284|0.327|0.411
Dillon Dingler|DET|78|5|11|18|0|12|5|19|67|0|0.284|0.368|0.567
Justin Crawford|PHI|69|0|7|2|1|13|7|17|60|0|0.283|0.377|0.4
Jake Mangum|PIT|52|0|10|1|3|9|5|13|46|0|0.283|0.353|0.326
Will Smith|LAD|80|2|10|11|0|13|8|20|71|1|0.282|0.35|0.38
Luis Campusano|SDP|35|1|5|6|0|9|3|9|32|0|0.281|0.343|0.5
Ozzie Albies|ATL|98|4|15|11|0|14|7|25|89|1|0.281|0.337|0.449
Jose Altuve|HOU|104|3|17|8|1|19|15|25|89|0|0.281|0.385|0.449
J.T. Realmuto|PHI|57|1|5|4|0|11|5|14|50|0|0.28|0.368|0.38
Randy Arozarena|SEA|101|2|18|9|5|20|12|24|86|0|0.279|0.386|0.407
Jo Adell|LAA|103|3|11|14|1|21|3|27|97|0|0.278|0.32|0.392
Ryan Jeffers|MIN|65|2|10|12|0|11|9|15|54|0|0.278|0.391|0.463
Matt Olson|ATL|104|6|19|19|0|27|13|25|90|1|0.278|0.365|0.589
Cody Bellinger|NYY|92|3|15|11|3|12|14|21|76|2|0.276|0.38|0.461
Joey Loperfido|HOU|66|0|7|7|1|19|6|16|58|1|0.276|0.348|0.362
Carlos Correa|HOU|92|1|16|12|1|15|11|22|80|1|0.275|0.359|0.375
Bryce Harper|PHI|92|4|10|11|1|14|12|22|80|0|0.275|0.37|0.513
Gabriel Moreno|ARI|45|0|6|5|0|8|3|11|40|1|0.275|0.333|0.4
Dominic Canzone|SEA|57|3|9|10|1|10|4|14|51|1|0.275|0.333|0.569
Oswald Peraza|LAA|70|4|8|8|3|16|6|17|62|0|0.274|0.348|0.532
Willson Contreras|BOS|89|4|10|12|0|25|11|20|73|0|0.274|0.404|0.466
Christian Walker|HOU|98|5|16|18|0|17|12|23|84|1|0.274|0.367|0.536
Griffin Conine|MIA|25|2|6|4|2|6|2|6|22|0|0.273|0.36|0.591
Leo Jiménez|MIA|12|0|0|0|0|0|1|3|11|0|0.273|0.333|0.273
Ramón Laureano|SDP|85|4|12|15|3|21|6|21|77|1|0.273|0.329|0.506
Mickey Moniak|COL|59|6|10|12|1|14|3|15|55|1|0.273|0.305|0.655
Matt Shaw|CHC|60|2|7|9|1|11|3|15|55|1|0.273|0.305|0.473
Brett Sullivan|COL|34|0|0|4|0|8|1|9|33|0|0.273|0.294|0.364
Maikel Garcia|KCR|102|2|12|9|1|18|9|25|92|1|0.272|0.333|0.402
Shohei Ohtani|LAD|103|5|15|11|1|23|16|22|81|2|0.272|0.402|0.506
Adam Frazier|LAA|46|1|10|4|0|14|6|10|37|0|0.27|0.386|0.405
Andrés Giménez|TOR|84|3|7|12|4|12|4|21|78|1|0.269|0.301|0.449
Jac Caglianone|KCR|75|1|7|2|0|22|6|18|67|0|0.269|0.347|0.403
Jeff McNeil|ATH|78|0|6|4|1|11|8|18|67|1|0.269|0.359|0.343
Francisco Alvarez|NYM|68|4|8|5|0|12|8|15|56|0|0.268|0.379|0.5
Teoscar Hernández|LAD|77|4|12|13|1|24|5|19|71|1|0.268|0.312|0.479
Alec Burleson|STL|99|3|9|15|1|12|12|23|86|1|0.267|0.354|0.43
Brandon Lowe|PIT|88|7|12|18|0|18|12|20|75|0|0.267|0.375|0.6
Amed Rosario|NYY|49|3|4|9|0|8|3|12|45|1|0.267|0.306|0.533
Xander Bogaerts|SDP|88|3|6|14|2|8|9|21|79|0|0.266|0.341|0.405
Bryan Reynolds|PIT|97|3|15|15|1|25|16|21|79|1|0.266|0.392|0.418
Trevor Larnach|MIN|47|1|7|7|0|7|13|9|34|0|0.265|0.468|0.412
Brandon Marsh|PHI|76|2|8|11|2|17|3|19|72|1|0.264|0.289|0.403
Josh Bell|MIN|88|3|17|15|0|18|10|20|76|1|0.263|0.352|0.447
Jacob Wilson|ATH|96|2|10|10|1|12|1|25|95|0|0.263|0.271|0.358
Riley Greene|DET|94|1|14|14|1|22|14|21|80|0|0.263|0.372|0.388
Angel Martínez|CLE|71|2|8|9|4|12|3|17|65|0|0.262|0.314|0.415
Elly De La Cruz|CIN|102|6|18|13|5|30|10|24|92|0|0.261|0.333|0.511
Luis Torrens|NYM|23|0|2|4|0|3|0|6|23|0|0.261|0.261|0.348
Garrett Mitchell|MIL|67|1|8|17|4|26|16|13|50|0|0.26|0.439|0.4
Ty France|SDP|29|1|4|1|0|4|1|7|27|0|0.259|0.31|0.407
Derek Hill|CHW|31|1|4|1|3|10|4|7|27|0|0.259|0.355|0.37
Edouard Julien|COL|62|1|6|8|2|15|8|14|54|0|0.259|0.355|0.352
Victor Caratini|MIN|76|1|5|10|0|9|7|16|62|3|0.258|0.355|0.323
Nick Gonzales|PIT|70|0|8|11|1|13|4|17|66|0|0.258|0.3|0.303
Jesús Sánchez|TOR|74|2|8|11|0|12|4|17|66|2|0.258|0.311|0.394
Luis Robert Jr.|NYM|82|2|9|7|2|16|12|18|70|0|0.257|0.366|0.371
Heliot Ramos|SFG|83|2|8|13|0|27|5|20|78|0|0.256|0.301|0.385
Eugenio Suárez|CIN|91|3|10|11|0|27|9|21|82|0|0.256|0.33|0.402
Kyle Tucker|LAD|95|3|16|13|3|20|12|21|82|1|0.256|0.347|0.39
Jeremy Peña|HOU|46|0|5|0|1|6|3|11|43|0|0.256|0.304|0.349
Spencer Horwitz|PIT|68|2|8|5|0|13|11|14|55|1|0.255|0.382|0.4
Brandon Lockridge|MIL|62|0|5|6|4|16|6|14|55|0|0.255|0.328|0.309
Jacob Young|WSH|71|2|8|10|1|12|2|17|67|0|0.254|0.286|0.403
Max Muncy|ATH|88|2|15|7|2|31|4|20|79|2|0.253|0.307|0.443
TJ Rumfield|COL|87|3|7|11|0|15|7|20|79|1|0.253|0.31|0.405
Fernando Tatis Jr.|SDP|95|0|9|12|6|21|11|20|79|3|0.253|0.34|0.304
Nick Allen|HOU|22|0|5|0|0|5|2|5|20|0|0.25|0.318|0.3
Jake Burger|TEX|93|5|10|17|0|29|3|22|88|1|0.25|0.28|0.466
Junior Caminero|TBR|101|5|12|10|0|17|12|22|88|1|0.25|0.337|0.455
José Fermín|STL|25|1|2|2|0|6|3|5|20|1|0.25|0.333|0.45
Tristan Gray|MIN|41|2|4|11|0|15|2|9|36|1|0.25|0.3|0.444
Vaughn Grissom|LAA|22|0|3|1|0|2|5|4|16|0|0.25|0.429|0.25
Austin Hedges|CLE|31|0|6|2|0|7|2|7|28|1|0.25|0.29|0.321
P.J. Higgins|CIN|9|0|0|0|0|3|1|2|8|0|0.25|0.333|0.25
Bryce Johnson|SDP|18|0|2|2|3|7|1|4|16|0|0.25|0.294|0.375
Ronny Mauricio|NYM|4|0|0|1|0|2|0|1|4|0|0.25|0.25|0.25
James McCann|ARI|34|0|3|4|0|11|1|8|32|0|0.25|0.273|0.344
Parker Meadows|DET|39|0|3|2|3|10|2|9|36|0|0.25|0.308|0.333
Chase Meidroth|CHW|88|1|12|2|1|18|9|19|76|0|0.25|0.329|0.355
Dane Myers|CIN|32|0|3|2|1|6|3|7|28|0|0.25|0.344|0.25
Edmundo Sosa|PHI|30|1|4|5|0|6|2|7|28|0|0.25|0.3|0.429
Daulton Varsho|TOR|76|3|8|7|1|12|7|17|68|0|0.25|0.329|0.441
Andrew Vaughn|MIL|4|0|0|1|0|0|0|1|4|0|0.25|0.25|0.25
Zach Neto|LAA|112|5|19|11|4|31|18|23|93|0|0.247|0.375|0.462
Willy Adames|SFG|95|3|11|6|0|26|5|22|89|0|0.247|0.295|0.461
Connor Norby|MIA|81|2|6|7|0|22|7|17|69|1|0.246|0.346|0.406
Nick Yorke|PIT|67|1|5|4|0|12|7|14|57|1|0.246|0.343|0.351
Alex Bregman|CHC|101|2|5|9|1|16|10|22|90|1|0.244|0.317|0.344
Trea Turner|PHI|97|2|14|7|2|18|7|22|90|0|0.244|0.299|0.356
Ronald Acuña Jr.|ATL|103|1|10|5|4|20|13|21|86|1|0.244|0.359|0.36
Cole Young|SEA|94|2|15|11|1|22|11|20|82|0|0.244|0.34|0.366
Ian Happ|CHC|92|6|12|11|0|29|13|19|78|0|0.244|0.359|0.526
Jung Hoo Lee|SFG|87|1|8|8|0|13|7|19|78|2|0.244|0.299|0.359
Miguel Amaya|CHC|44|1|7|4|0|11|6|9|37|0|0.243|0.364|0.351
Jake Meyers|HOU|43|1|5|4|1|8|4|9|37|1|0.243|0.326|0.378
Gavin Sheets|SDP|70|2|8|6|1|16|4|16|66|0|0.242|0.286|0.47
Masyn Winn|STL|78|1|10|9|3|17|9|16|66|1|0.242|0.346|0.379
David Fry|CLE|35|0|5|0|0|12|6|7|29|0|0.241|0.371|0.276
Tyler Heineman|TOR|34|0|4|1|0|7|1|7|29|0|0.241|0.29|0.241
Kyle Higashioka|TEX|34|1|5|3|0|9|5|7|29|0|0.241|0.353|0.345
Tyler O'Neill|BAL|34|1|6|4|0|6|3|7|29|0|0.241|0.353|0.345
Ben Williamson|TBR|65|0|11|6|2|14|6|14|58|0|0.241|0.313|0.31
Kyle Isbel|KCR|63|2|6|6|4|16|4|13|54|0|0.241|0.305|0.37
Hunter Goodman|COL|88|5|15|8|1|34|6|19|79|0|0.241|0.318|0.481
Wyatt Langford|TEX|82|1|9|4|2|18|3|19|79|0|0.241|0.268|0.367
Jorge Barrosa|ARI|55|1|7|6|0|18|2|12|50|0|0.24|0.283|0.48
Jerar Encarnacion|SFG|25|0|1|0|0|5|0|6|25|0|0.24|0.24|0.28
Giancarlo Stanton|NYY|81|2|6|10|1|24|6|18|75|0|0.24|0.296|0.36
Austin Riley|ATL|99|3|13|15|2|21|10|21|88|0|0.239|0.323|0.386
Carter Jensen|KCR|71|5|8|12|0|22|6|15|63|1|0.238|0.31|0.492
Jahmai Jones|DET|21|1|2|3|0|6|0|5|21|0|0.238|0.238|0.429
Gary Sánchez|MIL|56|5|8|11|0|13|13|10|42|0|0.238|0.429|0.619
Gleyber Torres|DET|101|1|14|7|0|17|16|20|84|1|0.238|0.356|0.298
Cam Smith|HOU|95|3|14|11|4|21|11|19|80|2|0.238|0.33|0.413
Matt Vierling|DET|40|1|5|4|1|8|1|9|38|1|0.237|0.25|0.395
James Wood|WSH|112|7|20|18|4|36|17|22|93|0|0.237|0.366|0.527
Brady House|WSH|90|2|9|9|0|27|5|20|85|0|0.235|0.278|0.353
Byron Buxton|MIN|90|3|17|4|0|23|7|19|81|1|0.235|0.3|0.407
Mike Trout|LAA|106|7|22|16|3|22|23|19|81|0|0.235|0.415|0.543
Willi Castro|COL|69|1|9|8|2|26|4|15|64|0|0.234|0.29|0.344
Jake Fraley|TBR|52|1|3|2|2|12|5|11|47|0|0.234|0.308|0.383
Carlos Narváez|BOS|50|0|4|1|1|14|2|11|47|0|0.234|0.265|0.277
Roman Anthony|BOS|93|1|11|4|2|24|15|18|77|0|0.234|0.366|0.338
Marcus Semien|NYM|86|1|3|8|1|17|6|18|77|1|0.234|0.294|0.312
José Caballero|NYY|78|1|9|8|9|19|4|17|73|0|0.233|0.282|0.329
Jorge Soler|LAA|87|5|13|19|0|31|10|17|73|2|0.233|0.333|0.479
Aaron Judge|NYY|95|9|18|16|4|29|11|19|82|0|0.232|0.33|0.598
Owen Caissie|MIA|72|2|7|13|1|30|4|15|65|2|0.231|0.278|0.4
Nathaniel Lowe|CIN|30|0|0|5|0|6|4|6|26|0|0.231|0.333|0.346
Victor Robles|SEA|13|0|0|1|1|3|0|3|13|0|0.231|0.231|0.308
José Ramírez|CLE|104|6|16|12|10|14|17|20|87|0|0.23|0.356|0.494
Joc Pederson|TEX|58|1|7|3|0|15|8|11|48|1|0.229|0.345|0.313
Geraldo Perdomo|ARI|85|1|9|5|6|9|11|16|70|2|0.229|0.325|0.314
Seiya Suzuki|CHC|43|0|6|2|0|11|7|8|35|0|0.229|0.372|0.257
Kerry Carpenter|DET|70|4|5|12|0|25|9|13|57|2|0.228|0.343|0.456
JJ Wetherholt|STL|101|3|17|11|4|19|14|18|79|2|0.228|0.376|0.354
Darell Hernaiz|ATH|25|1|2|1|2|5|3|5|22|0|0.227|0.32|0.364
Nathan Lukes|TOR|47|0|4|7|0|6|1|10|44|1|0.227|0.255|0.273
Tanner Murray|CHW|24|1|2|2|0|4|1|5|22|0|0.227|0.292|0.364
Nick Kurtz|ATH|100|3|10|10|2|33|25|17|75|0|0.227|0.42|0.387
Nolan Schanuel|LAA|96|2|6|14|0|14|10|19|84|2|0.226|0.302|0.333
Jonathan Aranda|TBR|99|3|11|16|0|22|16|18|80|3|0.225|0.343|0.388
Rafael Devers|SFG|94|2|7|8|0|28|5|20|89|0|0.225|0.266|0.315
Jake Bauers|MIL|74|5|13|13|3|15|7|15|67|0|0.224|0.297|0.463
Ezequiel Tovar|COL|89|1|8|6|1|26|3|19|85|0|0.224|0.258|0.353
Santiago Espinal|LAD|20|0|2|2|0|2|0|4|18|0|0.222|0.222|0.278
Sam Huff|BAL|9|0|1|1|0|5|0|2|9|0|0.222|0.222|0.333
Royce Lewis|MIN|45|2|6|8|2|12|8|8|36|0|0.222|0.378|0.444
Andruw Monasterio|BOS|30|0|2|3|1|8|3|6|27|0|0.222|0.3|0.296
Agustín Ramírez|MIA|91|2|11|11|1|21|8|18|81|1|0.222|0.297|0.37
Julio Rodríguez|SEA|103|1|10|7|2|26|11|20|90|0|0.222|0.32|0.289
Mark Vientos|NYM|57|2|6|6|0|12|2|12|54|1|0.222|0.246|0.37
Jackson Merrill|SDP|93|3|15|13|4|20|6|19|86|0|0.221|0.272|0.395
Isaac Paredes|HOU|79|2|8|10|0|16|7|15|68|0|0.221|0.329|0.368
Danny Jansen|TEX|54|1|3|6|0|17|4|11|50|0|0.22|0.278|0.34
Steven Kwan|CLE|103|1|9|8|2|12|9|20|91|1|0.22|0.294|0.286
Keibert Ruiz|WSH|44|1|4|9|0|5|1|9|41|1|0.22|0.25|0.366
Taylor Walls|TBR|48|0|7|4|3|11|3|9|41|0|0.22|0.289|0.244
Chase DeLauter|CLE|85|5|11|12|0|11|11|16|73|1|0.219|0.318|0.493
Austin Hays|CHW|33|1|2|6|0|12|1|7|32|0|0.219|0.242|0.344
Brooks Lee|MIN|70|3|6|12|0|12|5|14|64|0|0.219|0.286|0.375
Alex Freeland|LAD|61|1|6|5|0|19|4|12|55|1|0.218|0.267|0.309
Konnor Griffin|PIT|62|0|7|8|4|18|4|12|55|1|0.218|0.29|0.291
Victor Scott II|STL|65|0|6|4|3|16|4|12|55|1|0.218|0.267|0.236
Bo Bichette|NYM|98|1|8|9|0|23|5|20|92|1|0.217|0.255|0.283
Hunter Feduccia|TBR|28|0|3|4|0|10|5|5|23|0|0.217|0.357|0.217
Jonah Heim|ATL|26|0|1|2|0|5|3|5|23|0|0.217|0.308|0.304
Starling Marte|KCR|24|0|1|0|0|7|0|5|23|0|0.217|0.25|0.304
Lenyn Sosa|TOR|48|0|3|5|0|8|0|10|46|1|0.217|0.213|0.304
Jared Triolo|PIT|26|0|2|1|0|5|2|5|23|0|0.217|0.308|0.261
Ryan Vilade|TBR|25|0|3|2|1|6|2|5|23|0|0.217|0.28|0.261
Mike Yastrzemski|ATL|78|0|10|5|1|20|8|15|69|0|0.217|0.308|0.29
Ketel Marte|ARI|90|4|14|9|0|17|7|18|83|0|0.217|0.278|0.386
Kyle Karros|COL|75|1|10|3|2|15|14|13|60|1|0.217|0.36|0.3
Brenton Doyle|COL|71|1|10|2|5|23|6|14|65|0|0.215|0.282|0.292
Pete Crow-Armstrong|CHC|92|1|14|5|4|25|5|18|84|0|0.214|0.275|0.298
Rhys Hoskins|CLE|68|1|9|6|0|19|12|12|56|0|0.214|0.353|0.357
Ryan Kreidler|MIN|18|2|2|4|0|3|4|3|14|0|0.214|0.389|0.714
Pedro Pagés|STL|48|1|5|5|1|9|2|9|42|1|0.214|0.277|0.333
Tyrone Taylor|NYM|30|1|3|6|0|4|1|6|28|0|0.214|0.241|0.357
Tyler Soderstrom|ATH|100|2|11|15|1|22|11|19|89|0|0.213|0.3|0.382
Kazuma Okamoto|TOR|89|3|7|8|0|30|9|17|80|0|0.213|0.292|0.35
Kyle Schwarber|PHI|98|7|13|14|0|34|14|17|80|0|0.213|0.357|0.525
Spencer Steer|CIN|78|3|9|5|0|24|4|15|71|1|0.211|0.269|0.394
Dylan Beavers|BAL|65|1|9|7|1|16|7|12|57|1|0.211|0.292|0.281
Bryson Stott|PHI|67|0|3|3|5|10|4|13|62|0|0.21|0.269|0.242
Luke Keaschall|MIN|93|1|11|10|4|13|6|18|86|1|0.209|0.258|0.279
Zach McKinstry|DET|46|1|2|5|0|10|3|9|43|0|0.209|0.261|0.326
Tristan Peters|CHW|47|0|2|1|1|15|4|9|43|0|0.209|0.277|0.233
Lawrence Butler|ATH|79|2|8|9|4|19|7|15|72|0|0.208|0.278|0.319
Nathan Church|STL|53|1|8|6|2|15|3|10|48|1|0.208|0.264|0.292
Luis García Jr.|WSH|76|1|9|12|1|12|4|15|72|0|0.208|0.25|0.319
Reese McGuire|CHW|26|0|1|2|0|6|0|5|24|0|0.208|0.269|0.208
Munetaka Murakami|CHW|93|8|16|16|0|31|20|15|72|1|0.208|0.376|0.542
Adolis García|PHI|89|2|5|5|1|25|9|16|77|1|0.208|0.303|0.338
Andrew McCutchen|TEX|32|1|3|5|0|14|2|6|29|1|0.207|0.25|0.379
Nolan Arenado|ARI|75|3|7|11|0|17|1|15|73|1|0.205|0.213|0.342
Iván Herrera|STL|102|2|9|11|0|14|18|16|78|1|0.205|0.382|0.321
Ramón Urías|STL|47|2|8|5|0|10|5|8|39|1|0.205|0.319|0.436
Francisco Lindor|NYM|99|1|12|1|2|18|10|18|88|0|0.205|0.293|0.307
Curtis Mead|WSH|48|2|5|7|2|5|4|9|44|0|0.205|0.271|0.409
Gabriel Arias|CLE|32|2|2|4|0|12|2|6|30|0|0.2|0.25|0.433
Luken Baker|ARI|5|0|0|0|0|3|0|1|5|0|0.2|0.2|0.2
Brett Baty|NYM|68|0|6|7|2|21|1|13|65|2|0.2|0.206|0.277
Nolan Gorman|STL|80|3|8|14|0|24|8|14|70|2|0.2|0.275|0.329
Isiah Kiner-Falefa|BOS|27|0|3|2|1|5|2|5|25|0|0.2|0.259|0.2
Colson Montgomery|CHW|88|5|7|13|1|28|9|15|75|0|0.2|0.318|0.453
Corey Seager|TEX|92|5|15|12|1|23|14|15|75|2|0.2|0.326|0.44
Tyler Tolbert|KCR|5|0|1|0|1|1|0|1|5|0|0.2|0.2|0.2
Pete Alonso|BAL|101|2|11|8|1|29|14|17|86|0|0.198|0.317|0.326
Logan O'Hoppe|LAA|79|1|7|8|0|20|9|13|66|1|0.197|0.316|0.258
Luisangel Acuña|CHW|67|0|6|3|6|10|3|12|61|1|0.197|0.242|0.213
Andrew Benintendi|CHW|66|1|5|6|0|24|5|12|61|0|0.197|0.258|0.361
Isaac Collins|KCR|63|1|8|4|0|22|6|11|56|0|0.196|0.286|0.268
J.P. Crawford|SEA|65|1|7|6|0|13|13|10|51|0|0.196|0.369|0.314
