name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Jake Rogers|DET|27|0|2|4|1|7|1|3|23|2|0.13|0.185|0.217
Carson Williams|TBR|25|0|4|3|0|9|1|3|23|0|0.13|0.167|0.174
Bo Naylor|CLE|59|1|1|3|0|13|5|7|54|0|0.13|0.203|0.204
Paul Goldschmidt|NYY|29|1|5|3|0|8|4|3|24|0|0.125|0.276|0.333
Rece Hinds|CIN|27|0|2|5|0|11|1|3|24|1|0.125|0.185|0.208
Connor Joe|SEA|9|0|0|0|1|3|1|1|8|0|0.125|0.222|0.125
Ryan McMahon|NYY|58|1|4|4|0|20|10|6|48|0|0.125|0.276|0.188
Yohel Pozo|STL|16|0|0|3|0|0|0|2|16|0|0.125|0.125|0.188
Austin Wynns|ATH|27|0|2|0|0|4|2|3|24|0|0.125|0.192|0.125
Andy Ibáñez|ATH|18|0|1|3|0|2|1|2|17|0|0.118|0.167|0.118
Blake Perkins|MIL|41|0|3|3|1|11|5|4|34|0|0.118|0.25|0.176
Harrison Bader|SFG|55|1|4|3|0|17|2|6|52|1|0.115|0.145|0.192
Jeimer Candelario|LAA|20|0|3|0|0|8|1|2|18|0|0.111|0.2|0.222
Shay Whitcomb|HOU|10|1|1|3|0|6|1|1|9|0|0.111|0.2|0.444
Otto Kemp|PHI|22|0|0|0|0|9|1|2|20|0|0.1|0.182|0.1
James Outman|MIN|24|0|3|0|3|10|2|2|22|0|0.091|0.167|0.136
Jose Trevino|CIN|12|0|0|0|0|3|1|1|11|0|0.091|0.167|0.091
Rafael Marchán|PHI|36|1|1|2|0|9|0|3|35|0|0.086|0.111|0.171
Ke'Bryan Hayes|CIN|65|1|3|1|0|6|6|5|59|0|0.085|0.169|0.136
Carlos Santana|ARI|26|0|1|0|0|8|2|2|24|0|0.083|0.154|0.125
Rob Refsnyder|SEA|32|1|2|2|0|7|3|2|28|1|0.071|0.156|0.179
Lourdes Gurriel Jr.|ARI|17|0|1|1|0|1|1|1|16|0|0.063|0.118|0.063
Wenceel Pérez|DET|34|1|3|1|0|4|2|2|32|0|0.063|0.118|0.156
Addison Barger|TOR|23|0|1|2|0|6|3|1|19|1|0.053|0.174|0.105
Ryan Bliss|SEA|2|0|0|0|0|2|0|0|2|0|0.0|0.0|0.0
Will Brennan|SFG|4|0|0|0|0|0|0|0|4|0|0.0|0.0|0.0
Dylan Carlson|CHC|4|0|1|0|0|2|0|0|4|0|0.0|0.0|0.0
Daniel Johnson|HOU|6|0|0|0|0|1|1|0|4|0|0.0|0.333|0.0
Dylan Moore|PHI|10|0|1|0|0|5|2|0|8|0|0.0|0.2|0.0
Tommy Pham|NYM|11|0|0|0|0|6|0|0|11|0|0.0|0.0|0.0
Jeferson Quero|MIL|2|0|0|0|0|0|1|0|1|0|0.0|0.5|0.0
Johnathan Rodríguez|BAL|11|0|0|1|0|4|3|0|7|1|0.0|0.273|0.0
Luke Williams|ATL|1|0|0|0|0|0|1|0|0|0|0.0|1.0|0.0
Patrick Wisdom|SEA|1|0|0|0|0|1|0|0|1|0|0.0|0.0|0.0
